gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	minus_log10_pvalue
CNAG_00002	354.52695098017955	4.3806812391180763e-4	0.001004459213576818	0.43612335671836167	0.6627472317691775	0.6972315152181439	0.17865207759695367
CNAG_00003	151.93984172296663	-0.01334779021739561	0.0013492284009129442	-9.892906351781463	4.468625298499094e-23	1.67963802817129e-22	22.349826060111766
CNAG_00004	214.5165180143097	-0.007727214401430819	0.0011692765746882587	-6.608542896269836	3.881210823409026e-11	8.934431301033618e-11	10.411032766186436
CNAG_00005	431.65358369245047	-9.317599322334143e-4	0.0013901348104412214	-0.6702658801398396	0.5026883135384248	0.5429899108782125	0.29870121110128717
CNAG_00006	979.6801394580214	-0.00262038302160927	0.0010322290260242897	-2.538567464724257	0.01113073400803466	0.014954992936647676	1.9534761954920499
CNAG_00007	310.24259146928705	0.013787590305834903	0.001229198400446785	11.216733035792624	3.375095294516165e-29	1.5570470259316576e-28	28.47171396052236
CNAG_00008	320.7637231333649	-0.0044371649573273445	0.0012021557554973618	-3.6910067077718884	2.2336824627843812e-4	3.444292616675711e-4	3.650978565536545
CNAG_00009	285.74303173911517	-0.019776764223222745	0.001124820622261512	-17.5821493950391	3.375346984363917e-69	4.565813675256341e-68	68.47168157523335
CNAG_00010	445.72017734458615	-0.001726447295543241	0.001394300339860036	-1.2382176538209457	0.21563536734991767	0.24840402592731464	0.6662800070046846
CNAG_00011	114.37261121098179	-0.015711969258291672	0.0012543954735229003	-12.525530895105572	5.4127941344620994e-36	3.103426890799462e-35	35.26657849017613
CNAG_00012	175.2694698542933	-0.0012712117030886315	0.0016747726776419405	-0.7590353724175164	0.44783139732793215	0.4891664162149292	0.3488854614308177
CNAG_00013	164.50764173176051	9.104880594674576e-4	0.001266657809314325	0.7188113891314724	0.4722571393338858	0.5135569052095225	0.3258214679220112
CNAG_00014	101.82645250746572	0.00597329489868118	0.0013066349963095799	4.571509959209705	4.842222712658258e-6	8.431588726537773e-6	5.314955239542331
CNAG_00015	345.5480857373245	-0.00722334153272845	0.001079851548536806	-6.689198661164163	2.2439593871208787e-11	5.2079838241500666e-11	10.64898500753571
CNAG_00016	625.7250164022618	-0.015854078719529225	0.001360534994164981	-11.652826856731867	2.2197117763259278e-31	1.106101963835354e-30	30.653703413872606
CNAG_00017	100.91978532081366	-0.008586501646906318	0.0016275506628416292	-5.275720039285707	1.3223583532807648e-7	2.519432825466332e-7	6.8786508370116
CNAG_00018	318.1659916076	-0.009455845724303547	0.0014740091623152414	-6.415052203238107	1.407746143771961e-10	3.1434252442644413e-10	9.851475653644814
