"","x"
"1","CNAG_05263"
"2","CNAG_06242"
"3","CNAG_06762"
"4","CNAG_07401"
"5","CNAG_00074"
"6","CNAG_00107"
"7","CNAG_00126"
"8","CNAG_00264"
"9","CNAG_00302"
"10","CNAG_00374"
"11","CNAG_00407"
"12","CNAG_00456"
"13","CNAG_00581"
"14","CNAG_00597"
"15","CNAG_00598"
"16","CNAG_00654"
"17","CNAG_00674"
"18","CNAG_00735"
"19","CNAG_00883"
"20","CNAG_01052"
"21","CNAG_01551"
"22","CNAG_01742"
"23","CNAG_01777"
"24","CNAG_01983"
"25","CNAG_02118"
"26","CNAG_02225"
"27","CNAG_02226"
"28","CNAG_02297"
"29","CNAG_02323"
"30","CNAG_02561"
"31","CNAG_03058"
"32","CNAG_03113"
"33","CNAG_03143"
"34","CNAG_03438"
"35","CNAG_03644"
"36","CNAG_03705"
"37","CNAG_03727"
"38","CNAG_03848"
"39","CNAG_03894"
"40","CNAG_04416"
"41","CNAG_04625"
"42","CNAG_04735"
"43","CNAG_04756"
"44","CNAG_04874"
"45","CNAG_04877"
"46","CNAG_05161"
"47","CNAG_05229"
"48","CNAG_05312"
"49","CNAG_05313"
"50","CNAG_05632"
"51","CNAG_05742"
"52","CNAG_05813"
"53","CNAG_05835"
"54","CNAG_05870"
"55","CNAG_05915"
"56","CNAG_05916"
"57","CNAG_05962"
"58","CNAG_05994"
"59","CNAG_06186"
"60","CNAG_06200"
"61","CNAG_06241"
"62","CNAG_06336"
"63","CNAG_06346"
"64","CNAG_06389"
"65","CNAG_06432"
"66","CNAG_06554"
"67","CNAG_06657"
"68","CNAG_06658"
"69","CNAG_06785"
"70","CNAG_06917"
"71","CNAG_07339"
"72","CNAG_07442"
"73","CNAG_07626"
"74","CNAG_07736"
"75","CNAG_07869"
