Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
RS_30	CNAG_00002	CNAG_00002	851.59	-0.040279	0.12916	0.86949
RS_30	CNAG_00003	CNAG_00003	135.32	0.12231	0.1586	0.64431
RS_30	CNAG_00004	CNAG_00004	230.61	0.087796	0.12225	0.67041
RS_30	CNAG_00005	CNAG_00005	514.95	-0.71013	0.14028	2.8403e-5
RS_30	CNAG_00006	CNAG_00006	1072.9	-0.21557	0.10333	0.13247
RS_30	CNAG_00007	CNAG_00007	475.22	-0.1099	0.10711	0.51842
RS_30	CNAG_00008	CNAG_00008	366.17	0.17951	0.1334	0.36745
RS_30	CNAG_00009	CNAG_00009	200.61	0.37647	0.14768	0.0568
RS_30	CNAG_00010	CNAG_00010	722.42	-0.10026	0.12678	0.63488
RS_30	CNAG_00011	CNAG_00011	94.712	-0.073388	0.20561	0.84966
RS_30	CNAG_00012	CNAG_00012	215.01	-0.86981	0.25043	0.0067734
RS_30	CNAG_00013	CNAG_00013	175.11	-0.42765	0.17853	0.076981
RS_30	CNAG_00014	CNAG_00014	101.27	0.55138	0.19297	0.029504
RS_30	CNAG_00015	CNAG_00015	452.51	-0.71006	0.18695	0.0027395
RS_30	CNAG_00016	CNAG_00016	483.48	0.60039	0.19178	0.015717
RS_30	CNAG_00017	CNAG_00017	76.877	0.70492	0.22665	0.016625
RS_30	CNAG_00018	FZC6	309.32	-0.7632	0.19695	0.0021194
RS_30	CNAG_00019	CNAG_00019	1425.1	0.074962	0.14263	0.76199
RS_30	CNAG_00020	CNAG_00020	782.89	0.61932	0.1913	0.012263
RS_30	CNAG_00021	CNAG_00021	183.4	0.30055	0.27301	0.48086
RS_30	CNAG_00022	CNAG_00022	364.7	-0.14691	0.10295	0.33555
RS_30	CNAG_00023	CNAG_00023	75.879	-0.26252	0.23396	0.47223
RS_30	CNAG_00024	CNAG_00024	3174.8	0.55509	0.26988	0.13917
RS_30	CNAG_00025	VCX1	278.69	0.54531	0.22861	0.078197
RS_30	CNAG_00026	CNAG_00026	256.03	-0.3585	0.16719	0.12063
RS_30	CNAG_00027	CNAG_00027	175.94	-0.88373	0.15016	5.7372e-7
RS_30	CNAG_00028	CNAG_00028	274.68	-0.51555	0.15265	0.0086471
RS_30	CNAG_00029	CNAG_00029	98.491	0.0043444	0.17693	0.9913
RS_30	CNAG_00030	CNAG_00030	104.13	-0.44816	0.20354	0.10922
RS_30	CNAG_00031	MLR1	127.64	0.55659	0.17881	0.016499
RS_30	CNAG_00032	CNAG_00032	50.283	-1.0028	0.26095	0.0023627
RS_30	CNAG_00034	RPL9B	8561.1	-0.086262	0.10518	0.61946
RS_30	CNAG_00035	CNAG_00035	42.528	0.11661	0.22129	0.76176
