gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	CNAG_00002	955.09	-0.15466	0.14449	0.52032
CNAG_00003	CNAG_00003	111.51	-0.38494	0.16813	0.10209
CNAG_00004	CNAG_00004	227.54	0.19034	0.14025	0.38636
CNAG_00005	CNAG_00005	548.97	0.10831	0.1394	0.66914
CNAG_00006	CNAG_00006	1102.1	0.10446	0.084582	0.4423
CNAG_00007	CNAG_00007	561.89	0.34985	0.11893	0.02626
CNAG_00008	CNAG_00008	375.98	0.19339	0.12866	0.32718
CNAG_00009	CNAG_00009	131.47	-0.14966	0.11969	0.43485
CNAG_00010	CNAG_00010	799.25	-0.23049	0.1169	0.17329
CNAG_00011	CNAG_00011	72.432	-0.2364	0.172	0.37982
CNAG_00012	CNAG_00012	228.16	-0.38963	0.16499	0.088806
CNAG_00013	CNAG_00013	186.41	0.002203	0.16432	0.99982
CNAG_00014	CNAG_00014	109.39	-0.17256	0.19369	0.61383
CNAG_00015	CNAG_00015	468.98	-0.090439	0.18481	0.80056
CNAG_00016	CNAG_00016	367.07	-0.065718	0.18424	0.86127
CNAG_00017	CNAG_00017	69.798	0.28753	0.20339	0.36472
CNAG_00018	FZC6	290.09	-0.15823	0.1938	0.6501
CNAG_00019	CNAG_00019	1634.9	0.37844	0.13174	0.031081
CNAG_00020	CNAG_00020	723.67	-0.18055	0.17635	0.54511
CNAG_00021	CNAG_00021	222.01	0.074967	0.29404	0.90816
CNAG_00022	CNAG_00022	409	0.11443	0.10506	0.513
CNAG_00023	CNAG_00023	84.649	0.67658	0.22526	0.022677
CNAG_00024	CNAG_00024	3505.6	0.31901	0.24278	0.40466
CNAG_00025	VCX1	275.5	0.10276	0.19787	0.78717
CNAG_00026	CNAG_00026	309.05	0.30412	0.17983	0.25862
CNAG_00027	CNAG_00027	172.45	0.10313	0.13477	0.67558
CNAG_00028	CNAG_00028	250.42	-0.13163	0.14178	0.59335
CNAG_00029	CNAG_00029	110.13	0.026108	0.17676	0.95253
CNAG_00030	CNAG_00030	109.26	-0.067774	0.23401	0.89146
CNAG_00031	MLR1	130.79	0.28378	0.17608	0.28656
CNAG_00032	CNAG_00032	48.816	-0.043412	0.20916	0.92839
CNAG_00034	RPL9B	10366	0.35308	0.10835	0.011969
CNAG_00035	CNAG_00035	44.367	0.18758	0.24027	0.66772
CNAG_00036	SEC14-2	373.16	0.048872	0.20883	0.9169
CNAG_00038	CNAG_00038	325.11	0.40352	0.17935	0.10957
CNAG_00039	ZFC6	216.25	0.35039	0.30484	0.48397
CNAG_00040	ERG11	471.26	-0.050876	0.12272	0.83472
CNAG_00043	CNAG_00043	177.98	0.039755	0.28247	0.95459
CNAG_00044	CNAG_00044	169.01	0.14317	0.16444	0.62445
CNAG_00045	CNAG_00045	286.57	-0.05777	0.15563	0.85493
CNAG_00046	CNAG_00046	540.83	0.18591	0.094873	0.17613
CNAG_00047	PKP1	429.04	0.18951	0.21717	0.62314
CNAG_00048	CNAG_00048	67.187	-0.20405	0.21954	0.59264
CNAG_00049	CNAG_00049	47.371	0.013568	0.23171	0.98631
CNAG_00050	CNAG_00050	122.61	0.10944	0.1696	0.72625
CNAG_00051	SNT1	714.8	0.10248	0.14523	0.70009
CNAG_00052	CNAG_00052	613.96	0.88057	0.28077	0.016393
CNAG_00053	CNAG_00053	15.674	-0.82557	0.28318	0.027837
CNAG_00054	CNAG_00054	246.7	0.58888	0.16048	0.0038434
CNAG_00055	CNAG_00055	263.82	-0.47606	0.14998	0.01485
CNAG_00056	CNAG_00056	103.07	0.0073791	0.19914	0.99472
CNAG_00057	FPP1	1033.3	0.39941	0.15657	0.06132
CNAG_00058	CNAG_00058	601.34	0.057181	0.17809	0.87629
CNAG_00059	CNAG_00059	112.11	-0.0035357	0.18662	0.99982
CNAG_00060	CNAG_00060	459.19	0.48666	0.14163	0.0074937
CNAG_00061	CIT1	2342.1	-0.36404	0.21876	0.26731
CNAG_00062	CNAG_00062	326.92	-0.0030146	0.14294	0.99982
CNAG_00063	CSE4	30.123	-0.012316	0.24443	0.98934
CNAG_00064	CNAG_00064	374.21	-0.27264	0.15537	0.23988
CNAG_00065	CNAG_00065	1113.7	0.067625	0.096117	0.70135
CNAG_00066	CNAG_00066	398.34	-0.30612	0.11561	0.050366
CNAG_00067	SSS1	837.11	-0.38275	0.12062	0.014866
CNAG_00068	CNAG_00068	149.94	-0.36746	0.21106	0.24359
CNAG_00069	CNAG_00069	12.265	-0.077212	0.4331	0.93931
CNAG_00070	CNAG_00070	1474.2	0.4344	0.12414	0.006314
CNAG_00072	CNAG_00072	520.88	-0.094451	0.26646	0.8621
CNAG_00073	CNAG_00073	247.11	0.021129	0.14494	0.95253
CNAG_00074	CNAG_00074	751.17	0.085846	0.1688	0.79182
CNAG_00075	CNAG_00075	162.93	0.53216	0.21906	0.078563
CNAG_00076	NDX6	150.61	0.24112	0.16878	0.35918
