Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
RS_240	CNAG_00085	CNAG_00085	204.53	-0.013261	0.13686	0.96611
RS_240	CNAG_00086	CNAG_00086	307.37	-0.21949	0.1717	0.41595
RS_240	CNAG_00087	CNAG_00087	166.45	0.04014	0.14218	0.89183
RS_240	CNAG_00088	CNAG_00088	354.1	-0.11267	0.1347	0.62519
RS_240	CNAG_00089	CNAG_00089	323.51	-0.054236	0.1092	0.79067
RS_240	CNAG_00090	CNAG_00090	466.43	0.17345	0.13084	0.39436
RS_240	CNAG_00091	CNAG_00091	1370.4	-0.65015	0.19698	0.010371
RS_240	CNAG_00092	CNAG_00092	557.86	-0.076709	0.11746	0.71201
RS_240	CNAG_00093	CNAG_00093	821.48	-0.38216	0.20574	0.20389
RS_240	CNAG_00094	CNAG_00094	14.863	-0.20122	0.42091	0.80059
RS_240	CNAG_00095	CNAG_00095	458.26	-0.43965	0.1393	0.015486
RS_240	CNAG_00096	CNAG_00096	69.954	-0.74388	0.23441	0.014872
RS_240	CNAG_00097	ITR1	105.7	0.46497	0.19198	0.08085
RS_240	CNAG_00098	CNAG_00098	107.07	0.040327	0.29166	0.95027
RS_240	CNAG_00099	CNAG_00099	192.53	0.09009	0.13136	0.69513
RS_240	CNAG_00100	CNAG_00100	2743.1	0.26355	0.17291	0.31327
RS_240	CNAG_00101	KEI1	173.19	-0.080145	0.11383	0.6876
RS_240	CNAG_00104	CNAG_00104	5418.9	0.22218	0.16771	0.39449
RS_240	CNAG_00106	TCO5	514.93	0.27949	0.24314	0.47316
RS_240	CNAG_00107	CNAG_00107	185.39	0.2442	0.25501	0.56234
RS_240	CNAG_00108	CNAG_00108	460.61	-0.56494	0.24522	0.10004
RS_240	CNAG_00109	CNAG_00109	637.4	-0.51305	0.16283	0.015705
RS_240	CNAG_00110	HPI3	10.501	0.76979	0.7336	0.52004
RS_240	CNAG_00111	CNAG_00111	540.43	-0.10809	0.099027	0.5014
RS_240	CNAG_00115	CNAG_00115	251.19	-0.30035	0.21279	0.35662
RS_240	CNAG_00116	CNAG_00116	4504.1	-0.21194	0.14129	0.32079
RS_240	CNAG_00117	ERG24	397.77	-0.021709	0.12665	0.93877
RS_240	CNAG_00118	CNAG_00118	107.73	-0.1447	0.1533	0.5699
RS_240	CNAG_00119	CNAG_00119	146.87	-0.050734	0.16109	0.87707
RS_240	CNAG_00120	CNAG_00120	504.84	-0.70015	0.18536	0.0024809
RS_240	CNAG_00121	CNAG_00121	461	-0.19944	0.1863	0.51108
RS_240	CNAG_00122	CNAG_00122	23.721	0.2295	0.48952	0.80576
RS_240	CNAG_00123	CNAG_00123	170.26	0.9664	0.19252	1.4804e-5
RS_240	CNAG_00124	CAS32	393.37	-0.19777	0.13936	0.35325
RS_240	CNAG_00125	CRG1	47.932	-0.01062	0.21082	0.97902
RS_240	CNAG_00126	CNAG_00126	361.84	1.4484	0.29372	2.2514e-5
RS_240	CNAG_00127	CNAG_00127	61.734	0.15779	0.26921	0.74567
RS_240	CNAG_00128	CNAG_00128	11.911	1.1817	0.48226	0.07677
RS_240	CNAG_00129	CNAG_00129	100.55	-0.26216	0.14792	0.22676
RS_240	CNAG_00130	RCK2	939.62	0.51123	0.17311000000000001	0.025951
RS_240	CNAG_00131	CNAG_00131	133.66	0.43814	0.42075	0.52386
RS_240	CNAG_00132	CNAG_00132	158.84	0.52798	0.2245	0.091974
RS_240	CNAG_00133	CNAG_00133	144.2	0.41404	0.39627	0.52235
RS_240	CNAG_00134	CNAG_00134	211.36	-0.14221	0.13586	0.52165
RS_240	CNAG_00135	CNAG_00135	111.73	-0.58344	0.21038	0.039413
RS_240	CNAG_00136	CNAG_00136	943.27	-0.10097	0.094014	0.5101
RS_240	CNAG_00137	CNAG_00137	331.87	0.45718	0.15346	0.02445
RS_240	CNAG_00138	CNAG_00138	223.84	0.080303	0.14342	0.7598
RS_240	CNAG_00139	CNAG_00139	862.64	-0.20836	0.18194	0.47493
RS_240	CNAG_00140	CNAG_00140	1842.1	-0.21707	0.13766	0.29287
RS_240	CNAG_00141	CNAG_00141	29.724	0.38188	0.22294	0.24573
RS_240	CNAG_00142	CNAG_00142	1510.4	0.25047	0.16061	0.29858
RS_240	CNAG_00143	CNAG_00143	627.67	-0.071214	0.12538	0.75578
RS_240	CNAG_00144	CNAG_00144	41.19	-0.19248	0.21994	0.60658
RS_240	CNAG_00145	CNAG_00145	74.288	-0.12903	0.17281	0.66711
RS_240	CNAG_00146	PBY101	531.61	0.51794	0.43539	0.45533
RS_240	CNAG_00147	CNAG_00147	3869.3	0.0074751	0.12235	0.97574
RS_240	CNAG_00148	CNAG_00148	245.83	0.064639	0.19063	0.86726
RS_240	CNAG_00149	CNAG_00149	4792.5	-0.052802	0.14676	0.85862
RS_240	CNAG_00150	PQP1	73.481	0.5632	0.19936	0.034358
RS_240	CNAG_00151	CNAG_00151	887.56	0.13971	0.15042	0.5786
RS_240	CNAG_00152	CNAG_00152	387.16	0.015445	0.17151	0.96821
RS_240	CNAG_00153	CNAG_00153	127.71	-0.087752	0.14349	0.73309
RS_240	CNAG_00154	CNAG_00154	111.58	-0.047834	0.1812	0.89917
RS_240	CNAG_00155	CNAG_00155	1.1148	0.47705	1.8634	0.90253
RS_240	CNAG_00156	SP1	1375.9	0.2234	0.11423	0.17674
RS_240	CNAG_00157	CNAG_00157	710	-0.19807	0.15378	0.41182
RS_240	CNAG_00158	HOC3	156.65	-0.26843	0.12798	0.14202
RS_240	CNAG_00159	CNAG_00159	173.73	-0.53476	0.16438	0.011891
RS_240	CNAG_00160	CNAG_00160	73.443	0.027621	0.21738	0.95385
RS_240	CNAG_00161	CNAG_00161	258.38	-0.081457	0.16987	0.80036
RS_240	CNAG_00162	AOX1	12761	-0.26921	0.18184	0.32883
RS_240	CNAG_00163	CNAG_00163	1814.2	-0.19081	0.13749	0.36518
RS_240	CNAG_00164	CNAG_00164	217.8	0.080431	0.27684	0.88757
RS_240	CNAG_00165	CNAG_00165	992.98	2.4344	0.16695	2.2575e-45
RS_240	CNAG_00166	CNAG_00166	711.88	-0.1516	0.17216	0.60399
RS_240	CNAG_00167	CNAG_00167	104.16	0.068756	0.14173	0.79734
RS_240	CNAG_00171	CNAG_00171	35.789	0.39876	0.21173	0.19683
RS_240	CNAG_00172	CNAG_00172	55.163	-0.33871	0.5354	0.72198
RS_240	CNAG_00173	CNAG_00173	267.94	-0.16603	0.24606	0.70093
RS_240	CNAG_00174	CNAG_00174	195.36	0.090514	0.23401	0.84549
RS_240	CNAG_00175	CNAG_00175	207.88	0.29813	0.17409	0.24574
RS_240	CNAG_00176	CNAG_00176	351.76	0.26011	0.19604	0.39419
RS_240	CNAG_00177	CNAG_00177	2.8088	1.0108	1.0807	0.57464
RS_240	CNAG_00178	CNAG_00178	464.22	-0.12553	0.19195	0.71169
RS_240	CNAG_00179	GPA2	33.789	0.051732	0.25132	0.92456
RS_240	CNAG_00180	CNAG_00180	201.09	-0.42206	0.14704	0.031033
RS_240	CNAG_00181	FYV10	185.74	-0.10966	0.15814	0.692
RS_240	CNAG_00182	VPS29	166.85	0.068111	0.20626	0.87071
RS_240	CNAG_00183	CNAG_00183	868.26	-0.22078	0.22067	0.54256
RS_240	CNAG_00184	CNAG_00184	496.59	0.15005	0.097421	0.30702
RS_240	CNAG_00185	CNAG_00185	273.44	0.069732	0.10621	0.71104
RS_240	CNAG_00186	CNAG_00186	203.16	0.056632	0.16744	0.86748
RS_240	CNAG_00187	UBP16	280.99	0.047647	0.18384	0.90161
RS_240	CNAG_00188	CNAG_00188	276.49	0.3597	0.12782	0.035459
RS_240	CNAG_00189	CNAG_00189	114.52	-0.012994	0.1764	0.97327
RS_240	CNAG_00190	CNAG_00190	744.79	-0.39711	0.229	0.24014
RS_240	CNAG_00191	CNAG_00191	192.91	-0.014103	0.15913	0.9685
RS_240	CNAG_00192	CNAG_00192	297.3	0.84181	0.19927	4.8634e-4
RS_240	CNAG_00193	GAT1	928.97	0.57466	0.23085	0.070466
RS_240	CNAG_00194	CNAG_00194	1260.2	-0.8286	0.15903	6.1203e-6
RS_240	CNAG_00195	CNAG_00195	513.39	-0.4636	0.15886	0.028091
RS_240	CNAG_00229	CNAG_00229	50.144	-0.29023	0.19416	0.3228
RS_240	CNAG_00231	CNAG_00231	266.21	-0.22446	0.17112	0.40079
RS_240	CNAG_00232	RPL30	5180.2	0.094102	0.14666	0.71757
RS_240	CNAG_00233	CNAG_00233	1618.1	-0.12059	0.1007	0.4519
RS_240	CNAG_00234	CNAG_00234	157.38	-0.21891	0.1417	0.30497
RS_240	CNAG_00235	AMT1	924.53	0.044022	0.24416	0.93509
RS_240	CNAG_00236	CNAG_00236	266.12	0.33227	0.20472	0.2772
RS_240	CNAG_00237	CNAG_00237	4521.3	0.13566	0.15331	0.60157
RS_240	CNAG_00238	CNAG_00238	1692.6	0.11927	0.15012	0.64466
RS_240	CNAG_00239	YAP1	458.3	0.38345	0.1804	0.13533
RS_240	CNAG_00240	CNAG_00240	338.97	-0.0038114	0.15389	0.98855
RS_240	CNAG_00241	CNAG_00241	202.68	-0.17179	0.16334	0.51904
RS_240	CNAG_00242	CNAG_00242	17.568	1.0895	0.33367	0.011472
RS_240	CNAG_00243	CNAG_00243	219.04	-0.2391	0.12913	0.20505
RS_240	CNAG_00246	CNAG_00246	223.94	0.13079	0.16089	0.63519
RS_240	CNAG_00247	LYS9	131.99	0.57138	0.25519	0.11167
RS_240	CNAG_00248	CNAG_00248	101.15	-0.24709	0.16941	0.33829
RS_240	CNAG_00249	CNAG_00249	176.25	-0.19046	0.14738	0.40969
RS_240	CNAG_00250	CNAG_00250	222.58	-1.2564	0.25438	2.1733e-5
RS_240	CNAG_00251	CNAG_00251	73.017	1.5613	0.20077	6.8243e-13
RS_240	CNAG_00252	CNAG_00252	233.56	-0.053961	0.12925	0.82956
RS_240	CNAG_00253	CNAG_00253	88.405	-0.30333	0.34743	0.60739
RS_240	CNAG_00254	CNAG_00254	527.19	-0.19615	0.18758	0.52205
RS_240	CNAG_00255	CNAG_00255	335.33	0.071564	0.12656	0.75687
RS_240	CNAG_00256	CNAG_00256	609.84	0.26254	0.15318	0.24539
RS_240	CNAG_00257	CNAG_00257	186.03	0.6209	0.19114	0.012058
RS_240	CNAG_00258	CNAG_00258	108.95	-0.2035	0.16341	0.43078
RS_240	CNAG_00259	CNAG_00259	673.14	-0.38081	0.12804	0.024749
RS_240	CNAG_00260	CNAG_00260	540.5	-0.43335	0.13102	0.010195
RS_240	CNAG_00261	CNAG_00261	2131.7	0.47239	0.10636	1.9855e-4
