Condition_Time	gene	baseMean	log2FC	stderror	padj
R_240	CNAG_04631	789.68	-1.376	0.30809	7.2128e-5
R_240	CNAG_01593	689.73	-1.3644	0.24138	2.7648e-7
R_240	CNAG_00250	222.58	-1.3596	0.25535	1.4913e-6
R_240	CNAG_00585	1074.4	-1.3596	0.16255	3.4055e-15
R_240	CNAG_04106	193.85	-1.3594	0.21836	1.1289e-8
R_240	CNAG_02011	85.889	-1.3538	0.18647	1.3914e-11
R_240	CNAG_06993	261.78	-1.3458	0.15095	3.2791e-17
R_240	CNAG_04147	1037.4	-1.3353	0.22932	1.0953e-7
R_240	CNAG_04195	182.54	-1.3306	0.18175	9.1901e-12
R_240	CNAG_02775	24501	-1.3178	0.22711	1.2292e-7
R_240	CNAG_06194	83.854	-1.3071	0.3196	3.2013e-4
R_240	CNAG_03064	1087.1	-1.3061	0.19815	1.1955e-9
R_240	CNAG_01047	321.72	-1.3001	0.24398	1.4635e-6
R_240	CNAG_05144	4085.8	-1.2982	0.23737	7.2187e-7
R_240	CNAG_05341	46.822	-1.2972	0.28071	3.8037e-5
R_240	CNAG_05939	878.99	-1.2919	0.23281	4.7207e-7
R_240	CNAG_06334	1302.2	-1.2908	0.17687	1.0683e-11
R_240	CNAG_03764	245.11	-1.2903	0.19756	1.7604e-9
R_240	CNAG_00393	759.36	-1.2895	0.47645	0.023151
R_240	CNAG_03878	400.2	-1.2877	0.19726	1.7882e-9
R_240	CNAG_06949	471.24	-1.2866	0.20925	1.7462e-8
R_240	CNAG_02759	551.32	-1.2816	0.2257	2.4112e-7
R_240	CNAG_06381	280.95	-1.2796	0.16358	2.4234e-13
R_240	CNAG_06401	218.85	-1.276	0.19967	4.1592e-9
R_240	CNAG_04744	352.88	-1.2673	0.21235	5.0211e-8
R_240	CNAG_06932	616.43	-1.2595	0.20308	1.2895e-8
R_240	CNAG_01552	1005	-1.2562	0.21125	5.6225e-8
R_240	CNAG_02553	41.297	-1.2369	0.28951	1.579e-4
R_240	CNAG_04975	26.158	-1.2341	0.41172	0.010894
R_240	CNAG_01623	574.48	-1.2313	0.17692	1.0793e-10
R_240	CNAG_01751	858.42	-1.2297	0.2086	7.4315e-8
R_240	CNAG_02035	1265.3	-1.2285	0.16218	1.5057e-12
R_240	CNAG_03313	26.447	-1.2233	0.35797	0.0032804
R_240	CNAG_01890	2782.3	-1.2223	0.18007	3.3426e-10
R_240	CNAG_00934	157.49	-1.2197	0.24292	6.4206e-6
R_240	CNAG_05260	149.81	-1.216	0.18608	1.7297e-9
R_240	CNAG_03295	2550.2	-1.2148	0.19595	1.3064e-8
R_240	CNAG_03817	826.3	-1.2147	0.13634	3.4599e-17
R_240	CNAG_03961	268.84	-1.2087	0.20946	1.4647e-7
R_240	CNAG_00834	157.36	-1.2077	0.2363	4.2601e-6
R_240	CNAG_04101	666.1	-1.2053	0.20035	3.774e-8
R_240	CNAG_04501	695.11	-1.2011	0.18905	5.1897e-9
R_240	CNAG_06602	230.74	-1.2001	0.19703	2.4504e-8
R_240	CNAG_04978	142.5	-1.2	0.24345	9.768e-6
R_240	CNAG_05383	329.55	-1.1985	0.17605	2.953e-10
R_240	CNAG_03408	606.89	-1.1961	0.23878	6.8023e-6
R_240	CNAG_07630	859.7	-1.191	0.18396	2.5159e-9
R_240	CNAG_07594	488.32	-1.191	0.43564	0.021744
R_240	CNAG_06472	880.1	-1.1895	0.16804	4.9016e-11
R_240	CNAG_05401	949.93	-1.1891	0.20868	2.1848e-7
R_240	CNAG_00848	10899	-1.1863	0.20834	2.2284e-7
R_240	CNAG_05619	512.73	-1.1859	0.21322	4.4225e-7
R_240	CNAG_03495	259.05	-1.1852	0.30065	5.5032e-4
R_240	CNAG_03526	66.527	-1.1806	0.23925	9.5402e-6
R_240	CNAG_02685	798.03	-1.1758	0.15521	1.5056e-12
R_240	CNAG_02047	110.72	-1.1736	0.24944	2.6609e-5
R_240	CNAG_00785	18258	-1.167	0.22952	4.818e-6
R_240	CNAG_02473	7323.9	-1.167	0.15855	6.9992e-12
R_240	CNAG_05473	333.66	-1.1628	0.14702	1.2704e-13
R_240	CNAG_06350	261.25	-1.1592	0.18442	7.791e-9
R_240	CNAG_03383	265.05	-1.1569	0.17544	1.1777e-9
R_240	CNAG_02328	914.31	-1.156	0.18768	1.6534e-8
R_240	CNAG_07947	565.53	-1.1513	0.14951	5.9283e-13
R_240	CNAG_06007	924.85	-1.1511	0.14659	1.9224e-13
R_240	CNAG_04370	2636.8	-1.147	0.23086	8.2159e-6
R_240	CNAG_00023	75.879	-1.1357	0.21493	1.8178e-6
R_240	CNAG_03564	198.87	-1.1282	0.17807	5.7859e-9
R_240	CNAG_01701	387.74	-1.1254	0.14876	1.5965e-12
R_240	CNAG_01989	108.36	-1.1233	0.1965	1.9716e-7
R_240	CNAG_07685	189.69	-1.1215	0.1999	3.4798e-7
R_240	CNAG_04345	291.85	-1.119	0.36515	0.0091141
R_240	CNAG_07981	571.72	-1.117	0.23058	1.4282e-5
R_240	CNAG_01546	126.92	-1.1146	0.23519	2.2927e-5
R_240	CNAG_04070	307.74	-1.1131	0.24929	7.2256e-5
R_240	CNAG_05342	414.51	-1.1128	0.24541	5.4839e-5
R_240	CNAG_01464	3662.4	-1.1125	0.25337	9.7391e-5
R_240	CNAG_02814	430.51	-1.1113	0.16612	6.417e-10
R_240	CNAG_06770	2502.9	-1.1108	0.16717	8.5165e-10
R_240	CNAG_05774	243.54	-1.1092	0.21181	2.2985e-6
R_240	CNAG_01102	1919.4	-1.1037	0.19701	3.6007e-7
R_240	CNAG_03083	74.03	-1.1021	0.257	1.4853e-4
R_240	CNAG_03983	571.66	-1.0996	0.31625	0.0027172
R_240	CNAG_02006	219.24	-1.0967	0.22654	1.4482e-5
R_240	CNAG_04105	42686	-1.0953	0.20067	7.5692e-7
R_240	CNAG_04038	114.56	-1.088	0.20221	1.118e-6
R_240	CNAG_03142	1850.6	-1.0861	0.19731	6.0245e-7
R_240	CNAG_04927	61.799	-1.0787	0.25729	2.155e-4
R_240	CNAG_03040	329.55	-1.0731	0.21797	1.0004e-5
R_240	CNAG_02591	1296	-1.0722	0.18177	7.2888e-8
R_240	CNAG_07965	331.54	-1.0683	0.2124	6.2134e-6
R_240	CNAG_07951	516.79	-1.0639	0.1629	1.7604e-9
R_240	CNAG_04694	1342.3	-1.0633	0.22093	1.641e-5
R_240	CNAG_06578	5322.1	-1.0623	0.23597	6.1623e-5
R_240	CNAG_01846	634.21	-1.0597	0.2338	5.4905e-5
R_240	CNAG_01119	1053.4	-1.0574	0.26236	3.9831e-4
R_240	CNAG_00559	731.87	-1.0531	0.16147	1.8526e-9
R_240	CNAG_01348	702.39	-1.0503	0.16644	6.7014e-9
R_240	CNAG_06341	1210.8	-1.0487	0.16368	3.7631e-9
R_240	CNAG_07516	28.05	-1.0465	0.42322	0.040236
R_240	CNAG_03921	326.29	-1.0454	0.2057	4.8699e-6
R_240	CNAG_01621	13137	-1.041	0.33017	0.0071927
R_240	CNAG_04622	255.83	-1.0404	0.26396	5.5086e-4
R_240	CNAG_03724	1968.4	-1.0398	0.19841	2.2575e-6
R_240	CNAG_00995	1373.6	-1.0358	0.23457	8.8462e-5
R_240	CNAG_07641	283.41	-1.0338	0.20559	6.2349e-6
R_240	CNAG_02088	207.52	-1.032	0.21999	2.8282e-5
R_240	CNAG_03563	449.53	-1.0297	0.18867	7.5762e-7
R_240	CNAG_04899	654.68	-1.0277	0.21453	1.8103e-5
R_240	CNAG_05999	216.46	-1.027	0.21699	2.3528e-5
R_240	CNAG_03082	70.87	-1.0261	0.27804	0.0013359000000000001
R_240	CNAG_04077	851.35	-1.025	0.1586	2.6611e-9
R_240	CNAG_03975	1237.7	-1.0215	0.17141	5.2591e-8
R_240	CNAG_00360	778.39	-1.0201	0.19403	2.0781e-6
R_240	CNAG_03624	1107.8	-1.0186	0.12245	4.9207e-15
R_240	CNAG_06379	447.96	-1.0184	0.22465	5.4905e-5
R_240	CNAG_05597	492.91	-1.0168	0.16234	8.9407e-9
R_240	CNAG_01528	232.53	-1.016	0.23068	9.2576e-5
R_240	CNAG_00120	504.84	-1.0107	0.1866	9.3238e-7
R_240	CNAG_04776	426.86	-1.0076	0.16925	5.4226e-8
R_240	CNAG_03293	589.78	-1.006	0.20265	8.3665e-6
