Condition_Time	gene	baseMean	log2FC	stderror	padj
R_240	CNAG_03413	545.41	1.2636	0.14795	7.7847e-16
R_240	CNAG_01081	99.182	1.2614	0.17307	1.1444e-11
R_240	CNAG_01335	54.757	1.2609	0.19377	2.0348e-9
R_240	CNAG_05238	41.115	1.2568	0.27889	6.0536e-5
R_240	CNAG_04373	1393	1.2555	0.12954	2.7982000000000003e-20
R_240	CNAG_05812	495	1.2544	0.17154	9.6658e-12
R_240	CNAG_06310	193.94	1.2524	0.19398	2.7533e-9
R_240	CNAG_01777	477.95	1.2463	0.17993	1.3402e-10
R_240	CNAG_07807	3488.6	1.2458	0.16816	4.9824e-12
R_240	CNAG_07415	40.761	1.2428	0.21026	6.8072e-8
R_240	CNAG_00331	135.63	1.2415	0.19484	4.6364e-9
R_240	CNAG_02040	76.237	1.2407	0.22635	6.791e-7
R_240	CNAG_00303	20.692	1.2403	0.3176	6.2701e-4
R_240	CNAG_02095	52.672	1.2346	0.26681	3.7123e-5
R_240	CNAG_02851	118.52	1.2192	0.17377	7.4352e-11
R_240	CNAG_05251	482.9	1.2175	0.25648	2.2128e-5
R_240	CNAG_04888	55.026	1.2132	0.18846	3.1045e-9
R_240	CNAG_02049	25.231	1.2082	0.45069	0.024717
R_240	CNAG_00251	73.017	1.2062	0.20032	3.6784e-8
R_240	CNAG_03551	14.388	1.2035	0.47798	0.036334
R_240	CNAG_04866	175.93	1.2022	0.43481	0.020195
R_240	CNAG_04623	101.33	1.1949	0.28726	2.4289e-4
R_240	CNAG_00794	194.05	1.1918	0.1441	7.0699e-15
R_240	CNAG_04210	963.01	1.1915	0.2133	3.8884e-7
R_240	CNAG_04344	17.297	1.1864	0.44337	0.024961
R_240	CNAG_06606	1348.5	1.1848	0.10758	4.2206e-26
R_240	CNAG_01592	53.181	1.179	0.35694	0.004669
R_240	CNAG_00664	18.833	1.1776	0.33822	0.0026801
R_240	CNAG_02600	317.43	1.177	0.17702	8.3273e-10
R_240	CNAG_01334	60.73	1.1735	0.30182	6.6557e-4
R_240	CNAG_04213	50.62	1.1732	0.29912	5.9082e-4
R_240	CNAG_04768	241.66	1.1717	0.26614	9.3246e-5
R_240	CNAG_00879	1048.8	1.1633	0.22915	4.999e-6
R_240	CNAG_04781	231.79	1.1516	0.14665	1.9224e-13
R_240	CNAG_01511	34.746	1.1464	0.3433	0.0041856
R_240	CNAG_00141	29.724	1.143	0.20282	3.0303e-7
R_240	CNAG_05820	166.13	1.1394	0.22125	3.5343e-6
R_240	CNAG_07401	104.75	1.1382	0.15874	2.586e-11
R_240	CNAG_06944	7.7606	1.1364	0.4206	0.023439
R_240	CNAG_05534	52.353	1.1351	0.1797	6.4607e-9
R_240	CNAG_02194	16.356	1.1336	0.35341	0.0061542
R_240	CNAG_02479	90.958	1.1326	0.18403	1.6857e-8
R_240	CNAG_04209	101.84	1.1312	0.18074	9.1919e-9
R_240	CNAG_04949	259.17	1.1291	0.14582	4.3062e-13
R_240	CNAG_01318	283.17	1.1256	0.12287	3.8801e-18
R_240	CNAG_04497	263.12	1.1243	0.19294	1.0757e-7
R_240	CNAG_07600	32.385	1.1201	0.35524	0.0071927
R_240	CNAG_05657	113.06	1.1189	0.19122	9.4884e-8
R_240	CNAG_04456	178.6	1.1187	0.1693	1.078e-9
R_240	CNAG_03600	69.1	1.1133	0.2114	1.9892e-6
R_240	CNAG_03830	12.318	1.1124	0.45577	0.043076
R_240	CNAG_06724	156.82	1.1099	0.18285	2.7665e-8
R_240	CNAG_04469	12.81	1.1094	0.33679	0.0047881
R_240	CNAG_01239	74.063	1.1081	0.24603	6.1168e-5
R_240	CNAG_01690	492.57	1.1078	0.16924	1.613e-9
R_240	CNAG_05302	202.1	1.1059	0.43071	0.032343
R_240	CNAG_06285	223.32	1.1048	0.19141	1.4584e-7
R_240	CNAG_03841	736.89	1.1019	0.19707	3.7826e-7
R_240	CNAG_00192	297.3	1.1014	0.19813	4.4895e-7
R_240	CNAG_07486	323.37	1.1004	0.15694	7.6716e-11
R_240	CNAG_07702	292.12	1.097	0.26307	2.3478e-4
R_240	CNAG_01438	66.465	1.0942	0.30219	0.0016926
R_240	CNAG_03019	222.14	1.0928	0.45328	0.045928
R_240	CNAG_04398	653.43	1.0923	0.13206	7.0699e-15
R_240	CNAG_01489	77.271	1.0875	0.18663	1.0757e-7
R_240	CNAG_00642	121.53	1.085	0.32621	0.0043466
R_240	CNAG_07466	22.274	1.0848	0.4502	0.04601
R_240	CNAG_01874	180.24	1.0809	0.21677	7.5821e-6
R_240	CNAG_01909	19.13	1.0807	0.38245	0.01721
R_240	CNAG_04042	472.13	1.0786	0.16688	2.6604e-9
R_240	CNAG_03308	48.423	1.0777	0.21585	7.3621e-6
R_240	CNAG_03837	424.98	1.0765	0.18897	2.1994e-7
R_240	CNAG_02983	164.46	1.0765	0.14318	2.2551e-12
R_240	CNAG_05962	98.283	1.0759	0.24687	1.1141e-4
R_240	CNAG_06493	695.18	1.0756	0.28523	0.0010163
R_240	CNAG_02979	33.603	1.0722	0.20442	2.2129e-6
R_240	CNAG_02107	713.28	1.0708	0.18138	7.0896e-8
R_240	CNAG_05340	28.858	1.0679	0.28388	0.0010479
R_240	CNAG_03561	144.65	1.0636	0.13471	1.4118e-13
R_240	CNAG_06836	69.847	1.0584	0.23763	7.5429e-5
R_240	CNAG_03125	12.281	1.0556	0.38982	0.023085
R_240	CNAG_03322	354.67	1.0539	0.21392	9.8881e-6
R_240	CNAG_05915	499.19	1.0534	0.18281	1.5365e-7
R_240	CNAG_03384	34.446	1.0515	0.31437	0.0041246
R_240	CNAG_00373	81.692	1.0451	0.22993	5.2533e-5
R_240	CNAG_03556	39.432	1.0435	0.23844	1.0307e-4
R_240	CNAG_05813	41.11	1.0423	0.23607	8.8462e-5
R_240	CNAG_06009	145.29	1.039	0.19618	1.7156e-6
R_240	CNAG_03154	879.32	1.0361	0.19414	1.4048e-6
R_240	CNAG_06191	608.96	1.0309	0.24545	2.095e-4
R_240	CNAG_06311	356.65	1.0275	0.12666	2.5626e-14
R_240	CNAG_03241	124.29	1.0266	0.1409	1.1582e-11
R_240	CNAG_00066	350.53	1.0196	0.1228	5.4512e-15
R_240	CNAG_04449	91.167	1.0185	0.12906	1.4417e-13
R_240	CNAG_02678	178.91	1.0179	0.18187	3.6879e-7
R_240	CNAG_03655	176.86	1.0095	0.25217	4.4155e-4
R_240	CNAG_00914	89.756	1.0092	0.20339	8.4472e-6
R_240	CNAG_00691	410.08	1.0017	0.1433	8.8145e-11
R_240	CNAG_03382	138.13	1.0013	0.14715	3.0061e-10
