Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
RS_120	CNAG_00002	CNAG_00002	851.59	0.0031632	0.13621	0.99067
RS_120	CNAG_00003	CNAG_00003	135.32	-0.25313	0.16112	0.28118
RS_120	CNAG_00004	CNAG_00004	230.61	0.16051	0.13049	0.41352
RS_120	CNAG_00005	CNAG_00005	514.95	-0.86841	0.14036	5.8632e-8
RS_120	CNAG_00006	CNAG_00006	1072.9	-0.15112	0.1003	0.30509
RS_120	CNAG_00007	CNAG_00007	475.22	-0.021613	0.11006	0.91339
RS_120	CNAG_00008	CNAG_00008	366.17	0.43909	0.13672	0.013509
RS_120	CNAG_00009	CNAG_00009	200.61	0.17416	0.13426	0.38341
RS_120	CNAG_00010	CNAG_00010	722.42	0.27628	0.13153	0.13044
RS_120	CNAG_00011	CNAG_00011	94.712	-0.1423	0.18375	0.63337
RS_120	CNAG_00012	CNAG_00012	215.01	-1.007	0.17231	4.005e-7
RS_120	CNAG_00013	CNAG_00013	175.11	-0.23997	0.16925	0.33548
RS_120	CNAG_00014	CNAG_00014	101.27	0.34298	0.18303	0.18664
RS_120	CNAG_00015	CNAG_00015	452.51	-0.39591	0.18994	0.13417
RS_120	CNAG_00016	CNAG_00016	483.48	0.37347	0.18756	0.15545
RS_120	CNAG_00017	CNAG_00017	76.877	0.013811	0.19885	0.96921
RS_120	CNAG_00018	FZC6	309.32	-0.5878	0.19362	0.021052
RS_120	CNAG_00019	CNAG_00019	1425.1	0.14453	0.14353	0.51772
RS_120	CNAG_00020	CNAG_00020	782.89	0.24078	0.19062	0.39854
RS_120	CNAG_00021	CNAG_00021	183.4	0.24777	0.28156	0.57958
RS_120	CNAG_00022	CNAG_00022	364.7	-0.10461	0.10271	0.51152
RS_120	CNAG_00023	CNAG_00023	75.879	-0.20708	0.2387	0.58509
RS_120	CNAG_00024	CNAG_00024	3174.8	0.53961	0.2703	0.15465
RS_120	CNAG_00025	VCX1	278.69	0.53732	0.22918	0.086612
RS_120	CNAG_00026	CNAG_00026	256.03	-0.47943	0.17378	0.038859
RS_120	CNAG_00027	CNAG_00027	175.94	0.029248	0.14039	0.90835
RS_120	CNAG_00028	CNAG_00028	274.68	-0.3212	0.13879	0.091318
RS_120	CNAG_00029	CNAG_00029	98.491	-0.09345	0.1635	0.73203
RS_120	CNAG_00030	CNAG_00030	104.13	0.17159	0.21812	0.62735
RS_120	CNAG_00031	MLR1	127.64	-0.15381	0.17898	0.58934
RS_120	CNAG_00032	CNAG_00032	50.283	-0.62092	0.20152	0.018924
RS_120	CNAG_00034	RPL9B	8561.1	-0.15137	0.10507	0.32815
RS_120	CNAG_00035	CNAG_00035	42.528	0.12579	0.19977	0.70123
RS_120	CNAG_00036	SEC14-2	430.39	-0.53139	0.20713	0.056952
RS_120	CNAG_00038	CNAG_00038	289.96	-0.20766	0.17514	0.43419
RS_120	CNAG_00039	ZFC6	186.22	0.65267	0.30355	0.12055
RS_120	CNAG_00040	ERG11	400.6	-0.23106	0.12054	0.17531
RS_120	CNAG_00043	CNAG_00043	249.94	0.28148	0.26578	0.49412
RS_120	CNAG_00044	CNAG_00044	191.23	-0.24019	0.17306	0.34709
RS_120	CNAG_00045	CNAG_00045	360.19	-0.20268	0.1543	0.37616
RS_120	CNAG_00046	CNAG_00046	497.54	-0.093746	0.11248	0.60318
RS_120	CNAG_00047	PKP1	520.21	0.22275	0.20483	0.48008
RS_120	CNAG_00048	CNAG_00048	59.287	0.5009	0.20937	0.079662
RS_120	CNAG_00049	CNAG_00049	42.497	0.12564	0.22951	0.74414
RS_120	CNAG_00050	CNAG_00050	109.49	-0.31144	0.17597	0.21675
RS_120	CNAG_00051	SNT1	688.78	0.26959	0.14012	0.17375
RS_120	CNAG_00052	CNAG_00052	2725.4	0.28494	0.28736	0.52461
RS_120	CNAG_00053	CNAG_00053	17.229	0.22565	0.33026	0.67876
RS_120	CNAG_00054	CNAG_00054	344.16	0.23379	0.16163	0.32561
RS_120	CNAG_00055	CNAG_00055	440.16	-0.68771	0.14399	6.5433e-5
RS_120	CNAG_00056	CNAG_00056	102.65	0.087225	0.22152	0.82485
RS_120	CNAG_00057	FPP1	946.28	-0.17299	0.15525	0.46767
RS_120	CNAG_00058	CNAG_00058	511.48	0.48289	0.18939	0.059018
RS_120	CNAG_00059	CNAG_00059	96.078	-0.012948	0.16782	0.96628
RS_120	CNAG_00060	CNAG_00060	468.94	0.36084	0.13299	0.042203
RS_120	CNAG_00061	CIT1	2089.9	-0.26499	0.21192	0.40482
RS_120	CNAG_00062	CNAG_00062	296.31	-0.25689	0.1544	0.25133
RS_120	CNAG_00063	CSE4	28.172	0.31579	0.28329	0.46746
RS_120	CNAG_00064	CNAG_00064	334.48	-0.16818	0.18982	0.57605
RS_120	CNAG_00065	CNAG_00065	965.76	-0.0092333	0.10471	0.9613
RS_120	CNAG_00066	CNAG_00066	350.53	0.12994	0.1271	0.50987
RS_120	CNAG_00067	SSS1	755.58	-0.083758	0.13464	0.70397
RS_120	CNAG_00068	CNAG_00068	132.51	0.5842	0.22311	0.051072
RS_120	CNAG_00069	CNAG_00069	10.608	0.12074	0.38861	0.86247
RS_120	CNAG_00070	CNAG_00070	1280.9	-0.36163	0.15328	0.084299
RS_120	CNAG_00072	CNAG_00072	503.04	0.28339	0.25475	0.46854
RS_120	CNAG_00073	CNAG_00073	242.5	0.24528	0.16565	0.31368
RS_120	CNAG_00074	CNAG_00074	737.95	0.97626	0.16679	3.8454e-7
RS_120	CNAG_00075	CNAG_00075	222.2	0.57483	0.24654	0.088837
