Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
Y_0	CNAG_00085	CNAG_00085	204.53	-0.19944	0.12051	0.32104
Y_0	CNAG_00086	CNAG_00086	307.37	0.015512	0.26301	0.98545
Y_0	CNAG_00087	CNAG_00087	166.45	0.1703	0.15218	0.5437
Y_0	CNAG_00088	CNAG_00088	354.1	-0.59715	0.13482	4.8976e-4
Y_0	CNAG_00089	CNAG_00089	323.51	-0.36666	0.14251	0.077294
Y_0	CNAG_00090	CNAG_00090	466.43	-0.21881	0.11529	0.23325
Y_0	CNAG_00091	CNAG_00091	1370.4	-0.16334	0.19479	0.67314
Y_0	CNAG_00092	CNAG_00092	557.86	-0.21318	0.13259	0.33902
Y_0	CNAG_00093	CNAG_00093	821.48	-0.046088	0.20478	0.92903
Y_0	CNAG_00094	CNAG_00094	14.863	-1.1826	0.34306	0.011144
Y_0	CNAG_00095	CNAG_00095	458.26	-0.005764	0.14849	0.98812
Y_0	CNAG_00096	CNAG_00096	69.954	0.23376	0.20583	0.5353
Y_0	CNAG_00097	ITR1	105.7	0.17464	0.20233	0.6633
Y_0	CNAG_00098	CNAG_00098	107.07	-0.18996	0.2821	0.7476
Y_0	CNAG_00099	CNAG_00099	192.53	0.44472	0.22154	0.20303
Y_0	CNAG_00100	CNAG_00100	2743.1	0.12728	0.18091	0.73494
Y_0	CNAG_00101	KEI1	173.19	-0.18044	0.13675	0.45548
Y_0	CNAG_00104	CNAG_00104	5418.9	0.31409	0.17175	0.25611
Y_0	CNAG_00106	TCO5	514.93	0.28248	0.24654	0.5309
Y_0	CNAG_00107	CNAG_00107	185.39	0.34618	0.25356	0.43591
Y_0	CNAG_00108	CNAG_00108	460.61	0.21082	0.26942	0.69763
Y_0	CNAG_00109	CNAG_00109	637.4	0.0033791	0.16856	0.99309
Y_0	CNAG_00110	HPI3	10.501	1.1131	0.40418	0.055383
Y_0	CNAG_00111	CNAG_00111	540.43	-0.16831	0.11105	0.37569
Y_0	CNAG_00115	CNAG_00115	251.19	0.56736	0.23444	0.104
Y_0	CNAG_00116	CNAG_00116	4504.1	0.33486	0.14532	0.12659
Y_0	CNAG_00117	ERG24	397.77	-0.17922	0.13676	0.45951
Y_0	CNAG_00118	CNAG_00118	107.73	0.63618	0.21958	0.041125
Y_0	CNAG_00119	CNAG_00119	146.87	0.088859	0.21734	0.85262
Y_0	CNAG_00120	CNAG_00120	504.84	0.26963	0.18494	0.39617
Y_0	CNAG_00121	CNAG_00121	461	-0.15383	0.18571	0.67613
Y_0	CNAG_00122	CNAG_00122	23.721	0.13017	0.29831	0.84256
Y_0	CNAG_00123	CNAG_00123	170.26	-0.10812	0.16425	0.75505
Y_0	CNAG_00124	CAS32	393.37	0.5274	0.13751	0.0037451
Y_0	CNAG_00125	CRG1	47.932	-0.31692	0.4485	0.73403
Y_0	CNAG_00126	CNAG_00126	361.84	-0.30955	0.32782	0.62434
Y_0	CNAG_00127	CNAG_00127	61.734	-0.10413	0.27361	0.86488
Y_0	CNAG_00128	CNAG_00128	11.911	1.5231	0.58249	0.071004
Y_0	CNAG_00129	CNAG_00129	100.55	0.42304	0.15198	0.051944
Y_0	CNAG_00130	RCK2	939.62	0.12382	0.17328	0.73124
Y_0	CNAG_00131	CNAG_00131	133.66	0.34113	0.4136	0.67812
Y_0	CNAG_00132	CNAG_00132	158.84	0.52749	0.23768	0.14706
Y_0	CNAG_00133	CNAG_00133	144.2	-0.13056	0.39312	0.88424
Y_0	CNAG_00134	CNAG_00134	211.36	-0.098193	0.13494	0.72275
Y_0	CNAG_00135	CNAG_00135	111.73	-0.25847	0.23458	0.55387
Y_0	CNAG_00136	CNAG_00136	943.27	0.085882	0.098612	0.66051
Y_0	CNAG_00137	CNAG_00137	331.87	-0.19618	0.18752	0.57871
Y_0	CNAG_00138	CNAG_00138	223.84	-0.17221	0.15637	0.55405
Y_0	CNAG_00139	CNAG_00139	862.64	-0.025486	0.17966	0.95546
Y_0	CNAG_00140	CNAG_00140	1842.1	0.25017	0.13674	0.25598
Y_0	CNAG_00141	CNAG_00141	29.724	0.013567	0.29185	0.98633
Y_0	CNAG_00142	CNAG_00142	1510.4	0.036565	0.19684	0.94423
Y_0	CNAG_00143	CNAG_00143	627.67	0.18341	0.16263	0.53944
Y_0	CNAG_00144	CNAG_00144	41.19	0.08179	0.24671	0.88442
Y_0	CNAG_00145	CNAG_00145	74.288	0.47383	0.24	0.21129
Y_0	CNAG_00146	PBY101	531.61	-0.088159	0.43583	0.93818
Y_0	CNAG_00147	CNAG_00147	3869.3	0.4338	0.12176	0.0083224
Y_0	CNAG_00148	CNAG_00148	245.83	0.36509	0.19103	0.2293
Y_0	CNAG_00149	CNAG_00149	4792.5	0.19763	0.15003	0.45646
Y_0	CNAG_00150	PQP1	73.481	0.62991	0.22619	0.051819
Y_0	CNAG_00151	CNAG_00151	887.56	0.20169	0.16342	0.49242
Y_0	CNAG_00152	CNAG_00152	387.16	-0.14728	0.18151	0.68376
Y_0	CNAG_00153	CNAG_00153	127.71	-0.18021	0.2151	0.6732
Y_0	CNAG_00154	CNAG_00154	111.58	0.0912	0.21928	0.85004
Y_0	CNAG_00155	CNAG_00155	1.1148	0.042592	1.2653	0.98889
Y_0	CNAG_00156	SP1	1375.9	0.0259	0.11541	0.92903
Y_0	CNAG_00157	CNAG_00157	710	-0.3751	0.16002	0.11859
Y_0	CNAG_00158	HOC3	156.65	0.010136	0.19199	0.98596
Y_0	CNAG_00159	CNAG_00159	173.73	-0.23181	0.16612	0.42199
Y_0	CNAG_00160	CNAG_00160	73.443	-0.034972	0.22344	0.95258
Y_0	CNAG_00161	CNAG_00161	258.38	-0.30676	0.18139	0.30738
Y_0	CNAG_00162	AOX1	12761	0.32167	0.19616	0.32652
Y_0	CNAG_00163	CNAG_00163	1814.2	-0.090781	0.13099	0.73879
Y_0	CNAG_00164	CNAG_00164	217.8	-0.75731	0.28464	0.065603
Y_0	CNAG_00165	CNAG_00165	992.98	0.21305	0.31478	0.74608
Y_0	CNAG_00166	CNAG_00166	711.88	-0.093789	0.18886	0.81719
Y_0	CNAG_00167	CNAG_00167	104.16	-0.25621	0.16265	0.3512
Y_0	CNAG_00171	CNAG_00171	35.789	0.23719	0.21277	0.54658
Y_0	CNAG_00172	CNAG_00172	55.163	0.39288	0.2031	0.22245
Y_0	CNAG_00173	CNAG_00173	267.94	-0.24332	0.24664	0.60687
Y_0	CNAG_00174	CNAG_00174	195.36	0.46159	0.23616	0.2167
Y_0	CNAG_00175	CNAG_00175	207.88	0.12408	0.17566	0.73403
Y_0	CNAG_00176	CNAG_00176	351.76	-0.1502	0.2086	0.72802
Y_0	CNAG_00177	CNAG_00177	2.8088	0.19162	0.73423	0.91264
Y_0	CNAG_00178	CNAG_00178	464.22	0.37584	0.1954	0.22563
Y_0	CNAG_00179	GPA2	33.789	-0.38958	0.27058	0.40321
Y_0	CNAG_00180	CNAG_00180	201.09	-0.37788	0.1525	0.09337
Y_0	CNAG_00181	FYV10	185.74	-0.13218	0.15374	0.66501999999999994
Y_0	CNAG_00182	VPS29	166.85	-0.70985	0.24941	0.045572
Y_0	CNAG_00183	CNAG_00183	868.26	0.077386	0.22421	0.87963
Y_0	CNAG_00184	CNAG_00184	496.59	0.095502	0.095451	0.60115
Y_0	CNAG_00185	CNAG_00185	273.44	-0.30177	0.11096	0.059266
Y_0	CNAG_00186	CNAG_00186	203.16	-0.092622	0.17509	0.80668
Y_0	CNAG_00187	UBP16	280.99	0.27331	0.18575	0.3917
Y_0	CNAG_00188	CNAG_00188	276.49	-0.46151	0.15051	0.028824
Y_0	CNAG_00189	CNAG_00189	114.52	-0.21854	0.21665	0.59692
Y_0	CNAG_00190	CNAG_00190	744.79	-0.077133	0.22978	0.8828
Y_0	CNAG_00191	CNAG_00191	192.91	-0.12717	0.24618	0.81024
Y_0	CNAG_00192	CNAG_00192	297.3	0.027191	0.32116	0.97613
Y_0	CNAG_00193	GAT1	928.97	0.34032	0.23374	0.39699
Y_0	CNAG_00194	CNAG_00194	1260.2	-0.46709	0.15709	0.035169
Y_0	CNAG_00195	CNAG_00195	513.39	-0.27516	0.16007	0.29734
Y_0	CNAG_00229	CNAG_00229	50.144	-0.056392	0.22166	0.91584
Y_0	CNAG_00231	CNAG_00231	266.21	0.071198	0.17304	0.8521
Y_0	CNAG_00232	RPL30	5180.2	-0.10045	0.1505	0.75078
Y_0	CNAG_00233	CNAG_00233	1618.1	-0.42193	0.10436	0.0019442
Y_0	CNAG_00234	CNAG_00234	157.38	-0.1033	0.18381	0.79507
Y_0	CNAG_00235	AMT1	924.53	-0.11999	0.23347	0.8104
Y_0	CNAG_00236	CNAG_00236	266.12	0.86043	0.27615	0.025293
Y_0	CNAG_00237	CNAG_00237	4521.3	-0.19494	0.14915	0.46025
Y_0	CNAG_00238	CNAG_00238	1692.6	0.36439	0.16288	0.14149
Y_0	CNAG_00239	YAP1	458.3	0.12826	0.17494	0.72033
Y_0	CNAG_00240	CNAG_00240	338.97	0.071627	0.16124	0.83894
Y_0	CNAG_00241	CNAG_00241	202.68	0.13938	0.17623	0.69396
Y_0	CNAG_00242	CNAG_00242	17.568	-0.29683	0.29261	0.59483
Y_0	CNAG_00243	CNAG_00243	219.04	-0.17976	0.14989	0.50559
Y_0	CNAG_00246	CNAG_00246	223.94	-0.20497	0.17074	0.50498
Y_0	CNAG_00247	LYS9	131.99	0.41196	0.24184	0.30282
Y_0	CNAG_00248	CNAG_00248	101.15	0.18255	0.18281	0.60144
Y_0	CNAG_00249	CNAG_00249	176.25	0.5092	0.18933	0.062558
Y_0	CNAG_00250	CNAG_00250	222.58	-0.13515	0.24022	0.79507
Y_0	CNAG_00251	CNAG_00251	73.017	0.0012931	0.17353	0.99726
Y_0	CNAG_00252	CNAG_00252	233.56	-0.21606	0.13448	0.33928
Y_0	CNAG_00253	CNAG_00253	88.405	0.22027	0.35068	0.7692
Y_0	CNAG_00254	CNAG_00254	527.19	0.17893	0.18639	0.6172
Y_0	CNAG_00255	CNAG_00255	335.33	0.34465	0.15168	0.134
Y_0	CNAG_00256	CNAG_00256	609.84	0.029058	0.16499	0.94784
Y_0	CNAG_00257	CNAG_00257	186.03	0.30596	0.20309	0.38017
Y_0	CNAG_00258	CNAG_00258	108.95	0.17077	0.19592	0.66051
Y_0	CNAG_00259	CNAG_00259	673.14	-0.16662	0.19621	0.66746
Y_0	CNAG_00260	CNAG_00260	540.5	0.3546	0.14729	0.1063
Y_0	CNAG_00261	CNAG_00261	2131.7	1.0343	0.10832	2.9904e-18
Y_0	CNAG_00262	CNAG_00262	231.7	-0.24968	0.19061	0.45968
Y_0	CNAG_00263	PTP4	285.95	-0.035374	0.13352	0.91162
Y_0	CNAG_00264	CNAG_00264	1228.9	-0.037441	0.13375	0.90571
Y_0	CNAG_00265	IDI1	1116.2	-0.24552	0.16946	0.39983
Y_0	CNAG_00266	YFH7	135.89	-0.11989	0.16867	0.73334
Y_0	CNAG_00267	CNAG_00267	83.13	0.075988	0.17063	0.8387
Y_0	CNAG_00268	ILV2	1581.5	-0.25475	0.2122	0.50498
Y_0	CNAG_00269	CNAG_00269	21.626	-0.035472	0.35847	0.97114
Y_0	CNAG_00270	CNAG_00270	1509.3	-0.44437	0.12933	0.011506
Y_0	CNAG_00271	CNAG_00271	208.59	0.037274	0.12992	0.90274
Y_0	CNAG_00272	CNAG_00272	254.56	-0.036505	0.15407	0.92353
Y_0	CNAG_00273	CNAG_00273	71.957	-0.14749	0.20657	0.73157
Y_0	CNAG_00274	CNAG_00274	109.09	0.25864	0.1665	0.36034
Y_0	CNAG_00275	CNAG_00275	45.344	-0.58275	0.26035	0.14149
Y_0	CNAG_00276	CNAG_00276	163.31	-0.5994	0.20601	0.039977
Y_0	CNAG_00277	CNAG_00277	169.81	-0.194	0.15783	0.49369
Y_0	CNAG_00278	CNAG_00278	273.83	0.17066	0.20002	0.66671
Y_0	CNAG_00279	CNAG_00279	216.39	-0.50487	0.20477	0.095557
Y_0	CNAG_00280	CNAG_00280	709.95	-0.57229	0.13942	0.0015425
Y_0	CNAG_00283	CNAG_00283	169.76	-0.54382	0.13915	0.0029606
Y_0	CNAG_00284	CNAG_00284	316.6	0.0027582	0.10445	0.99106
Y_0	CNAG_00285	CNAG_00285	169.96	-0.40629	0.26241	0.36241
Y_0	CNAG_00286	NAB2	555.9	-0.12904	0.11983	0.56469
Y_0	CNAG_00287	CNAG_00287	1487.1	-0.031412	0.19386	0.95082
Y_0	CNAG_00288	CNAG_00288	208.22	0.38408	0.14865	0.075478
