gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	CNAG_00002	955.09	0.095654	0.12921	0.69847
CNAG_00003	CNAG_00003	111.51	0.42898	0.1659	0.07271
CNAG_00004	CNAG_00004	227.54	0.20653	0.12409	0.28966
CNAG_00005	CNAG_00005	548.97	1.0149	0.12993	1.9211e-11
CNAG_00006	CNAG_00006	1102.1	0.20691	0.089169	0.11532
CNAG_00007	CNAG_00007	561.89	0.1187	0.11061	0.53522
CNAG_00008	CNAG_00008	375.98	-0.31088	0.12509	0.085154
CNAG_00009	CNAG_00009	131.47	-0.026549	0.15261	0.94689
CNAG_00010	CNAG_00010	799.25	-0.10176	0.10969	0.60494
CNAG_00011	CNAG_00011	72.432	0.16673	0.22099	0.69246
CNAG_00012	CNAG_00012	228.16	-0.085616	0.22647	0.8659
CNAG_00013	CNAG_00013	186.41	0.21016	0.1704	0.45925
CNAG_00014	CNAG_00014	109.39	-0.14154	0.20242	0.71788
CNAG_00015	CNAG_00015	468.98	0.10064	0.17483	0.77909
CNAG_00016	CNAG_00016	367.07	-0.74462	0.18975	0.0027072
CNAG_00017	CNAG_00017	69.798	-0.6383	0.21697	0.036151
CNAG_00018	FZC6	290.09	0.18672	0.19319	0.58597
CNAG_00019	CNAG_00019	1634.9	0.26872	0.13027	0.17088
CNAG_00020	CNAG_00020	723.67	-0.64408	0.17764	0.0065623
CNAG_00021	CNAG_00021	222.01	0.18565	0.27855	0.7348
CNAG_00022	CNAG_00022	409	-0.049492	0.10518	0.82716
CNAG_00023	CNAG_00023	84.649	0.15526	0.24112	0.74219
CNAG_00024	CNAG_00024	3505.6	-0.55708	0.24196	0.11919
CNAG_00025	VCX1	275.5	-0.59939	0.19672	0.028197
CNAG_00026	CNAG_00026	309.05	0.042486	0.16598	0.91584
CNAG_00027	CNAG_00027	172.45	0.16785	0.13517	0.45647
CNAG_00028	CNAG_00028	250.42	0.21025	0.1483	0.3796
CNAG_00029	CNAG_00029	110.13	0.18144	0.17585	0.55585
CNAG_00030	CNAG_00030	109.26	0.14534	0.20184	0.70872
CNAG_00031	MLR1	130.79	0.24021	0.18821	0.44277
CNAG_00032	CNAG_00032	48.816	0.14206	0.24132	0.77247
CNAG_00034	RPL9B	10366	0.29684	0.10846	0.054982
CNAG_00035	CNAG_00035	44.367	-0.10089	0.23052	0.84014
CNAG_00036	SEC14-2	373.16	-0.011958	0.21929	0.98549
CNAG_00038	CNAG_00038	325.11	0.1124	0.18196	0.7553
CNAG_00039	ZFC6	216.25	-1.1518	0.29784	0.003233
CNAG_00040	ERG11	471.26	0.29669	0.1167	0.077474
CNAG_00043	CNAG_00043	177.98	-1.4325	0.3347	8.5042e-4
CNAG_00044	CNAG_00044	169.01	-0.1232	0.22358	0.79048
CNAG_00045	CNAG_00045	286.57	0.002108	0.1564	0.99832
CNAG_00046	CNAG_00046	540.83	-0.22739	0.11816	0.20903
CNAG_00047	PKP1	429.04	0.22442	0.19376	0.49437
CNAG_00048	CNAG_00048	67.187	0.46384	0.20897	0.13668
CNAG_00049	CNAG_00049	47.371	0.081287	0.25137	0.88717
CNAG_00050	CNAG_00050	122.61	0.014434	0.18265	0.97767
CNAG_00051	SNT1	714.8	-0.087021	0.14012	0.75327
CNAG_00052	CNAG_00052	613.96	0.072235	0.28149	0.91584
CNAG_00053	CNAG_00053	15.674	0.59634	0.46917	0.44582
CNAG_00054	CNAG_00054	246.7	0.28404	0.18949	0.34792
CNAG_00055	CNAG_00055	263.82	0.12832	0.15596	0.65905
CNAG_00056	CNAG_00056	103.07	-0.57848	0.37102	0.32634
CNAG_00057	FPP1	1033.3	0.1846	0.16459	0.51219
CNAG_00058	CNAG_00058	601.34	-0.64587	0.18371	0.0086985
CNAG_00059	CNAG_00059	112.11	-0.24173	0.17878	0.40899
CNAG_00060	CNAG_00060	459.19	-0.24272	0.13642	0.25256
CNAG_00061	CIT1	2342.1	-0.24253	0.21913	0.52039
CNAG_00062	CNAG_00062	326.92	0.38302	0.18284	0.16319
CNAG_00063	CSE4	30.123	-1.4658	0.55292	0.064471
CNAG_00064	CNAG_00064	374.21	0.30719	0.18319	0.28598
CNAG_00065	CNAG_00065	1113.7	0.19489	0.10533	0.23162
CNAG_00066	CNAG_00066	398.34	0.11664	0.12558	0.60453
CNAG_00067	SSS1	837.11	-0.0097412	0.12386	0.97783
CNAG_00068	CNAG_00068	149.94	0.044025	0.20869	0.93518
CNAG_00069	CNAG_00069	12.265	0.41466	0.36614	0.50661
CNAG_00070	CNAG_00070	1474.2	0.26067	0.11519	0.12648
CNAG_00072	CNAG_00072	520.88	-1.6191	0.28258	2.2001e-6
CNAG_00073	CNAG_00073	247.11	-0.43979	0.22572	0.20058
CNAG_00074	CNAG_00074	751.17	-0.063919	0.19296	0.88461
CNAG_00075	CNAG_00075	162.93	-0.56203	0.31615	0.25307
CNAG_00076	NDX6	150.61	-0.013924	0.30851	0.98917
CNAG_00077	CNAG_00077	1485.3	0.34668	0.18024	0.2091
CNAG_00078	CNAG_00078	130.92	-0.2728	0.16768	0.30092
CNAG_00079	CNAG_00079	650.28	0.34605	0.29597	0.48926
CNAG_00080	CNAG_00080	85.881	-0.056513	0.15877	0.87472
CNAG_00081	CNAG_00081	981.91	0.12937	0.13909	0.60399
CNAG_00082	CNAG_00082	200.82	-0.4901	0.19049	0.074187
CNAG_00083	CCC1	289.06	-0.91473	0.19601	2.3068e-4
CNAG_00084	CNAG_00084	652.13	0.31194	0.14464	0.14978
CNAG_00085	CNAG_00085	156.58	0.10037	0.12788	0.67699
CNAG_00086	CNAG_00086	372.82	0.056399	0.16121	0.87679
CNAG_00087	CNAG_00087	165.37	0.062971	0.24998	0.91757
CNAG_00088	CNAG_00088	320.78	0.12787	0.1509	0.64495
CNAG_00089	CNAG_00089	377.17	0.27363	0.10963	0.083611
CNAG_00090	CNAG_00090	338.32	0.052166	0.12685	0.85169
CNAG_00091	CNAG_00091	361.17	0.1527	0.23791	0.74306
CNAG_00092	CNAG_00092	636.87	0.12492	0.11874	0.54655
CNAG_00093	CNAG_00093	513.98	-0.075841	0.23657	0.88797
CNAG_00094	CNAG_00094	13.038	-0.74442	0.41281	0.24748
CNAG_00095	CNAG_00095	528.88	-0.042226	0.12913	0.88572
CNAG_00096	CNAG_00096	50.092	-0.36338	0.31218	0.49175
CNAG_00097	ITR1	111.43	0.0026301	0.19863	0.99832
CNAG_00098	CNAG_00098	45.965	-0.52954	0.38743	0.4022
CNAG_00099	CNAG_00099	231.13	0.051274	0.14088	0.87266
CNAG_00100	CNAG_00100	3304.1	0.38727	0.17305	0.13231
CNAG_00101	KEI1	190.57	0.31532	0.12946	0.094063
CNAG_00104	CNAG_00104	6521.3	-0.13606	0.14441	0.59866
CNAG_00106	TCO5	582.07	-0.34803	0.21933	0.31559
CNAG_00107	CNAG_00107	122.42	-1.7146	0.41601	0.0014845
