Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
R_30	CNAG_00087	CNAG_00087	166.45	0.76418	0.2473	0.034316
R_30	CNAG_00088	CNAG_00088	354.1	0.061398	0.15611	0.86802
R_30	CNAG_00089	CNAG_00089	323.51	0.34269	0.11156	0.035258
R_30	CNAG_00090	CNAG_00090	466.43	0.16846	0.12254	0.45224
R_30	CNAG_00091	CNAG_00091	1370.4	-0.038537	0.23445	0.957
R_30	CNAG_00092	CNAG_00092	557.86	-0.099398	0.13462	0.72943
R_30	CNAG_00093	CNAG_00093	821.48	-0.059505	0.23577	0.92246
R_30	CNAG_00094	CNAG_00094	14.863	-0.76736	0.44501	0.31449
R_30	CNAG_00095	CNAG_00095	458.26	-0.077665	0.1283	0.78461
R_30	CNAG_00096	CNAG_00096	69.954	0.16759	0.30981	0.81223
R_30	CNAG_00097	ITR1	105.7	-0.14329	0.21384	0.75824
R_30	CNAG_00098	CNAG_00098	107.07	-0.041961	0.38693	0.97456
R_30	CNAG_00099	CNAG_00099	192.53	0.64423	0.14096	4.5196e-4
R_30	CNAG_00100	CNAG_00100	2743.1	-0.048674	0.17413	0.9139
R_30	CNAG_00101	KEI1	173.19	0.18878	0.14579	0.48668
R_30	CNAG_00104	CNAG_00104	5418.9	0.084914	0.16619	0.82687
R_30	CNAG_00106	TCO5	514.93	0.21208	0.23899	0.66357
R_30	CNAG_00107	CNAG_00107	185.39	0.41351	0.35637	0.54759
R_30	CNAG_00108	CNAG_00108	460.61	-0.32227	0.2485	0.48547
R_30	CNAG_00109	CNAG_00109	637.4	-0.15512	0.16447	0.64046
R_30	CNAG_00110	HPI3	10.501	1.4015	0.48862	0.052713
R_30	CNAG_00111	CNAG_00111	540.43	0.11428	0.1003	0.55581
R_30	CNAG_00115	CNAG_00115	251.19	0.23369	0.22247	0.59593
R_30	CNAG_00116	CNAG_00116	4504.1	0.020929	0.14204	0.96159
R_30	CNAG_00117	ERG24	397.77	-0.053679	0.1308	0.86166
R_30	CNAG_00118	CNAG_00118	107.73	0.45321	0.235	0.24524
R_30	CNAG_00119	CNAG_00119	146.87	0.12831	0.20957	0.78097
R_30	CNAG_00120	CNAG_00120	504.84	-0.40517	0.18994	0.1873
R_30	CNAG_00121	CNAG_00121	461	0.60697	0.20123	0.03972
R_30	CNAG_00122	CNAG_00122	23.721	0.97524	0.37856	0.093312
R_30	CNAG_00123	CNAG_00123	170.26	-0.77614	0.1904	0.0025234
R_30	CNAG_00124	CAS32	393.37	-0.26649	0.13227	0.22135
R_30	CNAG_00125	CRG1	47.932	-0.11801	0.21489	0.81017
R_30	CNAG_00126	CNAG_00126	361.84	0.93384	0.29775	0.031115
R_30	CNAG_00127	CNAG_00127	61.734	-0.26443	0.29323	0.65921
R_30	CNAG_00128	CNAG_00128	11.911	-0.14589	0.54613	0.91817
R_30	CNAG_00129	CNAG_00129	100.55	0.17083	0.28413	0.78607
R_30	CNAG_00130	RCK2	939.62	0.54168	0.19672	0.06597
R_30	CNAG_00131	CNAG_00131	133.66	0.23676	0.4195	0.80264
R_30	CNAG_00132	CNAG_00132	158.84	-0.23237	0.23319	0.62137
R_30	CNAG_00133	CNAG_00133	144.2	-0.028337	0.39835	0.98345
R_30	CNAG_00134	CNAG_00134	211.36	-0.098571	0.19014	0.82304
R_30	CNAG_00135	CNAG_00135	111.73	-0.31693	0.28213	0.56282
R_30	CNAG_00136	CNAG_00136	943.27	-0.095479	0.10887	0.66893
R_30	CNAG_00137	CNAG_00137	331.87	-0.1272	0.16157	0.70859
R_30	CNAG_00138	CNAG_00138	223.84	-0.29997	0.17688	0.32434
R_30	CNAG_00139	CNAG_00139	862.64	0.22976	0.1999	0.55182
R_30	CNAG_00140	CNAG_00140	1842.1	-0.0062343	0.13778	0.9916
R_30	CNAG_00141	CNAG_00141	29.724	0.52061	0.30164	0.31406
R_30	CNAG_00142	CNAG_00142	1510.4	0.089148	0.15483	0.79598
R_30	CNAG_00143	CNAG_00143	627.67	-0.28019	0.12093	0.1416
R_30	CNAG_00144	CNAG_00144	41.19	-0.59363	0.35102	0.32609
R_30	CNAG_00145	CNAG_00145	74.288	0.57729	0.32295	0.29311
R_30	CNAG_00146	PBY101	531.61	-0.75623	0.43501	0.30882
R_30	CNAG_00147	CNAG_00147	3869.3	0.024331	0.12174	0.93997
R_30	CNAG_00148	CNAG_00148	245.83	0.2464	0.21491	0.5526
R_30	CNAG_00149	CNAG_00149	4792.5	-0.11985	0.14573	0.69266
R_30	CNAG_00150	PQP1	73.481	-0.11375	0.21079	0.81309
R_30	CNAG_00151	CNAG_00151	887.56	-0.16678	0.14965	0.56668
R_30	CNAG_00152	CNAG_00152	387.16	-0.15325	0.16735	0.652
R_30	CNAG_00153	CNAG_00153	127.71	0.065368	0.13368	0.83352
R_30	CNAG_00154	CNAG_00154	111.58	-0.4653	0.2901	0.35822
R_30	CNAG_00155	CNAG_00155	1.1148	-0.074528	1.8634	0.99208
R_30	CNAG_00156	SP1	1375.9	0.055129	0.11279	0.83352
R_30	CNAG_00157	CNAG_00157	710	0.21436	0.14992	0.4289
R_30	CNAG_00158	HOC3	156.65	-0.44983	0.15139	0.043999
R_30	CNAG_00159	CNAG_00159	173.73	-0.37471	0.17756	0.19364
R_30	CNAG_00160	CNAG_00160	73.443	-0.09631	0.21446	0.85015
R_30	CNAG_00161	CNAG_00161	258.38	-1.0559	0.19126	9.5227e-6
R_30	CNAG_00162	AOX1	12761	-0.53203	0.18211	0.048473
R_30	CNAG_00163	CNAG_00163	1814.2	0.24634	0.13073	0.26012
R_30	CNAG_00164	CNAG_00164	217.8	-0.39362	0.37265	0.59227
R_30	CNAG_00165	CNAG_00165	992.98	0.46891	0.17131	0.068227
R_30	CNAG_00166	CNAG_00166	711.88	0.23386	0.16393	0.43079
R_30	CNAG_00167	CNAG_00167	104.16	-0.67752	0.24617	0.066073
R_30	CNAG_00171	CNAG_00171	35.789	-0.17857	0.33357	0.81492
R_30	CNAG_00172	CNAG_00172	55.163	1.2976	0.28771	5.7798e-4
R_30	CNAG_00173	CNAG_00173	267.94	-0.4125	0.25309	0.3505
R_30	CNAG_00174	CNAG_00174	195.36	-0.22325	0.26615	0.68612
R_30	CNAG_00175	CNAG_00175	207.88	0.32854	0.29537	0.5671
R_30	CNAG_00176	CNAG_00176	351.76	-0.18428	0.21756	0.68238
R_30	CNAG_00177	CNAG_00177	2.8088	0.1217	0.80301	0.96066
R_30	CNAG_00178	CNAG_00178	464.22	-0.29192	0.19115	0.39091
R_30	CNAG_00179	GPA2	33.789	0.062578	0.24664	0.92221
R_30	CNAG_00180	CNAG_00180	201.09	-0.76961	0.46538	0.34056
R_30	CNAG_00181	FYV10	185.74	0.12832	0.23436	0.81052
R_30	CNAG_00182	VPS29	166.85	-0.22986	0.26922	0.67922
