gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00116	NA	2491.611	2.108	0.157	5.526e-40
CNAG_00117	ERG24	280.32	0.908	0.156	1.266e-8
CNAG_00118	NA	68.762	1.262	0.234	1.453e-7
CNAG_00119	NA	79.619	1.495	0.249	4.429e-9
CNAG_00120	NA	489.127	-1.155	0.187	1.534e-9
CNAG_00121	NA	509.115	-1.322	0.171	3.039e-14
CNAG_00122	NA	41.991	-4.376	0.427	6.495e-24
CNAG_00123	NA	277.4	-2.961	0.175	2.7859999999999996e-63
CNAG_00124	CAS32	314.082	-0.296	0.164	0.08959
CNAG_00125	CRG1	23.72	3.091	0.435	3.447e-12
CNAG_00126	NA	273.702	3.554	0.195	3.821999999999999e-73
CNAG_00127	NA	58.371	0.131	0.315	0.7175
CNAG_00128	NA	13.59	0.646	0.454	0.1868
CNAG_00129	NA	99.53	-1.636	0.201	1.497e-15
CNAG_00130	RCK2	1196.975	-1.639	0.188	1.264e-17
CNAG_00131	NA	175.933	-1.644	0.265	1.336e-9
CNAG_00132	NA	162.739	0.898	0.217	6.475e-5
CNAG_00133	NA	165.364	-1.001	0.315	0.002334
CNAG_00134	NA	243.578	-1.148	0.161	3.062e-12
CNAG_00135	NA	67.411	0.42	0.328	0.2361
CNAG_00136	NA	787.36	0.175	0.126	0.1972
CNAG_00137	NA	175.469	1.92	0.181	1.557e-25
CNAG_00138	NA	167.537	0.276	0.167	0.1226
CNAG_00139	NA	1505.568	-4.776	0.155	1.2169999999999995e-205
CNAG_00140	NA	1939.627	-1.17	0.193	3.046e-9
CNAG_00141	NA	19.988	0.515	0.358	0.1824
CNAG_00142	NA	498.506	3.702	0.166	6.138e-109
CNAG_00143	NA	256.851	2.328	0.188	2.611e-34
CNAG_00144	NA	34.204	0.001	0.278	0.9988
CNAG_00145	NA	46.574	0.903	0.273	0.00151
CNAG_00146	PBY101	539.023	0.719	0.431	0.1186
CNAG_00147	NA	3382.924	-1.294	0.14	1.124e-19
CNAG_00148	NA	252.386	-2.094	0.196	7.807000000000001e-26
CNAG_00149	NA	1789.198	1.677	0.147	1.584e-29
CNAG_00150	PQP1	47.423	-0.402	0.262	0.1525
CNAG_00151	NA	564.248	2.03	0.157	1.602e-37
CNAG_00152	NA	195.999	0.762	0.163	5.392e-6
CNAG_00153	NA	53.76	1.485	0.275	1.403e-7
