MGat201,4HrUp,4HrDown
CNAG_00182,CNAG_07913,CNAG_01980
CNAG_00183,CNAG_02984,CNAG_06389
CNAG_00696,CNAG_07912,CNAG_03894
CNAG_00697,CNAG_01500,CNAG_04874
CNAG_00849,CNAG_05662,CNAG_06785
CNAG_00850,CNAG_01562,CNAG_00456
CNAG_00941,CNAG_06347,CNAG_06242
CNAG_00987,CNAG_05833,CNAG_05312
CNAG_00988,CNAG_00765,CNAG_00735
CNAG_01502,CNAG_01272,CNAG_01551
CNAG_01504,CNAG_04098,CNAG_06346
CNAG_01814,CNAG_04291,CNAG_07869
CNAG_01815,CNAG_07874,CNAG_07759
CNAG_02330,CNAG_01995,CNAG_02872
CNAG_02662,CNAG_04657,CNAG_05161
CNAG_02663,CNAG_01275,CNAG_02225
CNAG_02712,CNAG_01056,CNAG_03644
CNAG_02713,CNAG_00827,CNAG_02060
CNAG_03012,CNAG_07826,CNAG_04018
CNAG_03013,CNAG_02864,CNAG_03516
CNAG_03222,CNAG_02942,CNAG_06917
CNAG_03223,CNAG_01539,CNAG_01816
CNAG_03595,CNAG_00588,CNAG_00165
CNAG_04104,CNAG_06541,CNAG_04869
CNAG_04105,CNAG_01683,CNAG_05870
CNAG_05222,CNAG_04142,CNAG_00302
CNAG_05223,CNAG_00399,CNAG_05229
CNAG_05262,CNAG_00865,CNAG_05916
CNAG_05263,CNAG_01560,CNAG_05147
CNAG_05424,CNAG_04076,CNAG_00597
CNAG_05425,CNAG_04903,CNAG_02544
CNAG_06242,CNAG_00400,CNAG_07809
CNAG_06243,CNAG_01965,CNAG_04735
CNAG_06443,CNAG_06963,CNAG_05264
CNAG_06761,CNAG_03782,CNAG_05159
CNAG_06762,CNAG_07752,CNAG_03848
CNAG_06766,CNAG_05836,CNAG_05330
CNAG_06846,CNAG_03759,CNAG_06241
CNAG_06868,CNAG_06623,CNAG_06200
CNAG_06869,CNAG_01735,CNAG_00463
CNAG_07401,CNAG_01524,CNAG_00674
CNAG_07447,CNAG_05449,CNAG_06517
CNAG_07466,CNAG_01131,CNAG_05160
CNAG_07940,CNAG_05458,CNAG_01671
CNAG_07962,CNAG_01534,CNAG_00883
CNAG_07988,CNAG_07984,CNAG_02118
CNAG_00005,CNAG_06628,CNAG_02323
CNAG_00008,CNAG_01584,CNAG_02684
CNAG_00009,CNAG_06905,CNAG_05313
CNAG_00010,CNAG_07491,CNAG_05040
CNAG_00011,CNAG_00923,CNAG_04877
CNAG_00023,CNAG_06698,CNAG_05867
CNAG_00024,CNAG_01605,CNAG_06186
CNAG_00038,CNAG_05077,CNAG_00598
CNAG_00039,CNAG_04837,CNAG_01983
CNAG_00066,CNAG_05031,CNAG_01681
CNAG_00067,CNAG_00315,CNAG_06294
CNAG_00068,CNAG_03565,CNAG_03326
CNAG_00070,CNAG_00393,CNAG_00637
CNAG_00073,CNAG_02925,CNAG_04357
CNAG_00074,CNAG_07367,CNAG_05066
CNAG_00079,CNAG_06396,CNAG_03735
CNAG_00106,CNAG_02120,CNAG_04096
CNAG_00107,CNAG_07765,CNAG_02339
CNAG_00122,CNAG_00250,CNAG_05396
CNAG_00123,CNAG_07638,CNAG_01506
CNAG_00124,CNAG_02553,CNAG_01672
CNAG_00126,CNAG_01585,CNAG_03658
CNAG_00130,CNAG_02759,CNAG_03037
CNAG_00162,CNAG_04501,CNAG_05466
CNAG_00164,CNAG_04195,CNAG_04756
CNAG_00165,CNAG_04077,CNAG_03007
CNAG_00178,CNAG_07690,CNAG_00688
CNAG_00179,CNAG_04622,CNAG_00654
CNAG_00184,CNAG_04631,CNAG_06281
CNAG_00188,CNAG_00866,CNAG_06027
CNAG_00189,CNAG_04345,CNAG_05263
CNAG_00192,CNAG_06949,CNAG_08010
CNAG_00193,CNAG_01564,CNAG_05863
CNAG_00194,CNAG_02775,CNAG_06784
CNAG_00235,CNAG_02011,CNAG_02381
CNAG_00236,CNAG_00701,CNAG_03719
CNAG_00264,CNAG_06169,CNAG_03078
CNAG_00265,CNAG_04101,CNAG_00498
CNAG_00268,CNAG_02489,CNAG_01760
CNAG_00269,CNAG_07594,CNAG_04736
CNAG_00275,CNAG_04038,CNAG_05158
CNAG_00276,CNAG_02473,CNAG_03113
CNAG_00302,CNAG_03961,CNAG_05632
CNAG_00303,CNAG_04141,CNAG_05760
CNAG_00306,CNAG_03492,CNAG_00275
CNAG_00314,CNAG_00749,CNAG_06762
CNAG_00315,CNAG_03983,CNAG_01333
CNAG_00331,CNAG_01552,CNAG_03829
CNAG_00332,CNAG_02815,CNAG_01283
CNAG_00333,CNAG_03572,CNAG_04969
CNAG_00336,CNAG_07989,CNAG_03670
CNAG_00337,CNAG_03082,CNAG_00540
CNAG_00347,CNAG_05608,CNAG_02344
CNAG_00348,CNAG_04975,CNAG_00936
CNAG_00359,CNAG_00269,CNAG_02675
