MLiv3,4HrUp,4HrDown
CNAG_00182,CNAG_07913,CNAG_01980
CNAG_00183,CNAG_02984,CNAG_06389
CNAG_00849,CNAG_07912,CNAG_03894
CNAG_00850,CNAG_01500,CNAG_04874
CNAG_01162,CNAG_05662,CNAG_06785
CNAG_01163,CNAG_01562,CNAG_00456
CNAG_02712,CNAG_06347,CNAG_06242
CNAG_02713,CNAG_05833,CNAG_05312
CNAG_04806,CNAG_00765,CNAG_00735
CNAG_04807,CNAG_01272,CNAG_01551
CNAG_04983,CNAG_04098,CNAG_06346
CNAG_04984,CNAG_04291,CNAG_07869
CNAG_05965,CNAG_07874,CNAG_07759
CNAG_05966,CNAG_01995,CNAG_02872
CNAG_00068,CNAG_04657,CNAG_05161
CNAG_00122,CNAG_01275,CNAG_02225
CNAG_00156,CNAG_01056,CNAG_03644
CNAG_00157,CNAG_00827,CNAG_02060
CNAG_00164,CNAG_07826,CNAG_04018
CNAG_00184,CNAG_02864,CNAG_03516
CNAG_00192,CNAG_02942,CNAG_06917
CNAG_00193,CNAG_01539,CNAG_01816
CNAG_00194,CNAG_00588,CNAG_00165
CNAG_00336,CNAG_06541,CNAG_04869
CNAG_00337,CNAG_01683,CNAG_05870
CNAG_00359,CNAG_04142,CNAG_00302
CNAG_00362,CNAG_00399,CNAG_05229
CNAG_00363,CNAG_00865,CNAG_05916
CNAG_00393,CNAG_01560,CNAG_05147
CNAG_00394,CNAG_04076,CNAG_00597
CNAG_00399,CNAG_04903,CNAG_02544
CNAG_00400,CNAG_00400,CNAG_07809
CNAG_00441,CNAG_01965,CNAG_04735
CNAG_00442,CNAG_06963,CNAG_05264
CNAG_00445,CNAG_03782,CNAG_05159
CNAG_00531,CNAG_07752,CNAG_03848
CNAG_00546,CNAG_05836,CNAG_05330
CNAG_00547,CNAG_03759,CNAG_06241
CNAG_00549,CNAG_06623,CNAG_06200
CNAG_00559,CNAG_01735,CNAG_00463
CNAG_00594,CNAG_01524,CNAG_00674
CNAG_00598,CNAG_05449,CNAG_06517
CNAG_00674,CNAG_01131,CNAG_05160
CNAG_00701,CNAG_05458,CNAG_01671
CNAG_00732,CNAG_01534,CNAG_00883
CNAG_00733,CNAG_07984,CNAG_02118
CNAG_00737,CNAG_06628,CNAG_02323
CNAG_00765,CNAG_01584,CNAG_02684
CNAG_00776,CNAG_06905,CNAG_05313
CNAG_00788,CNAG_07491,CNAG_05040
CNAG_00791,CNAG_00923,CNAG_04877
CNAG_00796,CNAG_06698,CNAG_05867
CNAG_00798,CNAG_01605,CNAG_06186
CNAG_00799,CNAG_05077,CNAG_00598
CNAG_00883,CNAG_04837,CNAG_01983
CNAG_00884,CNAG_05031,CNAG_01681
CNAG_00897,CNAG_00315,CNAG_06294
CNAG_00904,CNAG_03565,CNAG_03326
CNAG_01019,CNAG_00393,CNAG_00637
CNAG_01061,CNAG_02925,CNAG_04357
CNAG_01075,CNAG_07367,CNAG_05066
CNAG_01076,CNAG_06396,CNAG_03735
CNAG_01082,CNAG_02120,CNAG_04096
CNAG_01105,CNAG_07765,CNAG_02339
CNAG_01119,CNAG_00250,CNAG_05396
CNAG_01230,CNAG_07638,CNAG_01506
CNAG_01232,CNAG_02553,CNAG_01672
CNAG_01233,CNAG_01585,CNAG_03658
CNAG_01237,CNAG_02759,CNAG_03037
CNAG_01242,CNAG_04501,CNAG_05466
CNAG_01274,CNAG_04195,CNAG_04756
CNAG_01275,CNAG_04077,CNAG_03007
CNAG_01276,CNAG_07690,CNAG_00688
CNAG_01277,CNAG_04622,CNAG_00654
CNAG_01353,CNAG_04631,CNAG_06281
CNAG_01354,CNAG_00866,CNAG_06027
CNAG_01375,CNAG_04345,CNAG_05263
CNAG_01446,CNAG_06949,CNAG_08010
CNAG_01448,CNAG_01564,CNAG_05863
CNAG_01551,CNAG_02775,CNAG_06784
CNAG_01552,CNAG_02011,CNAG_02381
CNAG_01562,CNAG_00701,CNAG_03719
CNAG_01620,CNAG_06169,CNAG_03078
CNAG_01621,CNAG_04101,CNAG_00498
CNAG_01683,CNAG_02489,CNAG_01760
CNAG_01701,CNAG_07594,CNAG_04736
CNAG_01744,CNAG_04038,CNAG_05158
CNAG_01745,CNAG_02473,CNAG_03113
CNAG_01802,CNAG_03961,CNAG_05632
CNAG_01803,CNAG_04141,CNAG_05760
CNAG_01845,CNAG_03492,CNAG_00275
CNAG_01846,CNAG_00749,CNAG_06762
CNAG_01847,CNAG_03983,CNAG_01333
CNAG_01901,CNAG_01552,CNAG_03829
CNAG_01902,CNAG_02815,CNAG_01283
CNAG_01925,CNAG_03572,CNAG_04969
CNAG_01939,CNAG_07989,CNAG_03670
CNAG_01965,CNAG_03082,CNAG_00540
CNAG_01983,CNAG_05608,CNAG_02344
CNAG_01994,CNAG_04975,CNAG_00936
CNAG_01995,CNAG_00269,CNAG_02675
