"","Gene","Product"
"1","CNAG_01551","hypothetical protein"
"2","CNAG_03172","hypothetical protein"
"3","CNAG_04217","phosphoenolpyruvate carboxykinase (ATP)"
"4","CNAG_05867","L-fucose transporter"
"5","CNAG_05916","hypothetical protein"
