"","Gene","Product"
"1","CNAG_00399","transformer-2-beta isoform 3"
"2","CNAG_01562","hypothetical protein, variant"
"3","CNAG_01562","hypothetical protein"
"4","CNAG_01965","hypothetical protein"
"5","CNAG_03346","hypothetical protein"
"6","CNAG_04025","transaldolase"
"7","CNAG_04471","FAD dependent oxidoreductase"
"8","CNAG_04807","hypothetical protein"
"9","CNAG_04837","hypothetical protein"
"10","CNAG_05662","sugar transporter"
"11","CNAG_06347","hypothetical protein"
"12","CNAG_07491","glutaredoxin"
"13","CNAG_07984","hypothetical protein"
