gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	minus_log10_pvalue
CNAG_00002	508.18321185485803	0.053292991299257096	0.10523107928565759	0.5064377526204906	0.6125493775200095	0.7802575184882558	0.2128588971346421
CNAG_00003	134.77941279768237	0.2034436432606344	0.13071400334213465	1.5564028188176218	0.11961233533041515	0.2966467648089671	0.9222240303000621
CNAG_00004	223.92903448342173	-0.06991255084389948	0.1077748534061771	-0.6486907533097369	0.516538282308098	0.7108580243943821	0.286897485995182
CNAG_00005	781.4954216787211	0.7415939893754429	0.14175949666047785	5.231353149846483	1.6827368463902114e-7	4.541378245994937e-6	6.773983795549095
CNAG_00006	1312.0432341629244	0.11315081753849131	0.07120029628263388	1.58919026248616	0.11201744421420627	0.28409066533396976	0.9507143404008033
CNAG_00007	560.1143321910441	0.022697847418029868	0.10185968008239567	0.2228344659993952	0.8236643423664339	0.9078016138576539	0.08424973485241463
CNAG_00008	360.7287997563058	-0.2092786261361663	0.11090325809904746	-1.8870376734041485	0.05915525868047687	0.1888396429319276	1.2280066421704743
CNAG_00009	155.7530947035188	-0.1780659934321628	0.09996463210803809	-1.78128993902279	0.07486509724626811	0.22020676020244034	1.1257206069495622
CNAG_00010	552.9205692670549	-0.17853029906895954	0.10111042984264719	-1.7656961734491368	0.07744683511336531	0.22506429045814524	1.110996325107944
CNAG_00011	82.21085424537065	-0.046026989445590076	0.14240243701015207	-0.32321770899404445	0.7465303702542523	0.8623800695945267	0.1269525196662932
CNAG_00012	319.09155658394997	0.7758830258967035	0.15897770743611367	4.880451721248388	1.0584312330185416e-6	2.393737346158833e-5	5.975337353129446
CNAG_00013	245.6561923494818	0.11959748717411897	0.11909189303344411	1.0042454119066935	0.3152603382246741	0.535499882430778	0.5013306628506428
CNAG_00014	149.8031738453637	-0.24372286847030367	0.11206585969824627	-2.1748181750138995	0.029643744548659128	0.11736220080223082	1.528066937868695
CNAG_00015	429.76583560922876	0.3545436298881274	0.14846184125505096	2.388112843616407	0.01693514102243571	0.07928033537386281	1.7712111825439656
CNAG_00016	443.3753006999011	-0.06680390161233271	0.13600863340461872	-0.49117397873997104	0.6233034015182902	0.7872416028240532	0.20530050305089784
CNAG_00017	108.28113276754969	0.1004125520590708	0.12876998728483532	0.7797822627485492	0.4355190483908468	0.6462763893948147	0.36099284540919796
CNAG_00018	367.89522435561804	0.4135470148521132	0.12727288234400344	3.2492940148424148	0.001156918329434544	0.010217685480560105	2.9366972982028052
CNAG_00019	1576.550835040724	-0.12745621273746816	0.10442876737396964	-1.2205086389752642	0.22227211664182736	0.4344118055775356	0.6531150148004021
CNAG_00020	858.464159902767	-0.10959269914541798	0.1365107597116988	-0.802813634448084	0.422082460357455	0.6346813810581241	0.3746026945838994
CNAG_00021	174.6606802500389	-0.027094781289558018	0.20566224940871755	-0.13174406760334467	0.8951867283712697	0.9487819880081394	0.048086365083201604
CNAG_00022	439.0568970129073	0.06744790304202143	0.08814493071292877	0.7651932164049955	0.44415649850746836	0.654637972343253	0.35246397929342427
CNAG_00023	59.63303496719587	0.3829514835646321	0.16024651058654335	2.3897648826357054	0.016859161769906185	0.07897922671462275	1.7731640221047569
CNAG_00024	2501.351653324981	-0.3241535158532759	0.20302069771780992	-1.5966525556120166	0.1103431768697708	0.2815652160994304	0.9572545165070654
CNAG_00025	296.0045233606311	-0.27932451352514104	0.1420235397797277	-1.9667480050022774	0.04921226957245009	0.1670159890199283	1.3079266057023022
CNAG_00026	278.0096626597815	0.38333583821903194	0.0989124602155975	3.8755060523566245	1.0640333488291376e-4	0.0014415523809937156	3.973044760212489
CNAG_00027	224.47261335617378	0.030634504685980505	0.10028029466433577	0.3054887781146053	0.7599939155226322	0.8696281729307956	0.1191898846475294
CNAG_00028	426.4876087538729	0.2739686704817151	0.10557804885910103	2.5949397004612145	0.00946075153650551	0.05218030780297479	2.0240743630492375
CNAG_00029	178.9214571488861	0.10411332314896109	0.11124427745582112	0.9358982370154548	0.3493255849941002	0.5688706663916528	0.45676960498691416
CNAG_00030	100.16442442808165	-0.007034887803796916	0.16137635829719763	-0.04359305091543313	0.9652287909997791	0.984176773795669	0.015369732364320559
CNAG_00031	151.47521091652737	-0.06288224318668571	0.11349180234339591	-0.5540685925175531	0.579531903626421	0.7562646754150834	0.23692265083494757
CNAG_00032	70.31398767947319	0.40840114583687825	0.14137343473805666	2.8888110881197946	0.0038670131426284424	0.026531647523427782	2.412624351909011
CNAG_00034	12862.853909131676	0.1697864920302937	0.09439890513790584	1.7986065811065852	0.07208093559341144	0.2152675465385761	1.1421795849532597
CNAG_00035	66.51453440948505	-0.036627213954528295	0.1625802281979172	-0.2252870128213876	0.8217560022682768	0.9066083321441869	0.08525711506201018
CNAG_00036	527.5318058069595	0.336969441164293	0.13970404739888606	2.4120234698868135	0.01586426027839304	0.07589300785722772	1.7995801734533734
CNAG_00038	412.78193324848144	0.1713134192312892	0.1480033213782623	1.1574971266587435	0.24706931255780168	0.4638712647634558	0.6071811931428238
CNAG_00039	191.05709452915838	-0.2874850706554118	0.2517983708376402	-1.1417272863960761	0.25356739509291776	0.46969251691534725	0.5959065908596205
CNAG_00040	482.84332168189263	0.10340759757049442	0.08727640549016877	1.1848287860817406	0.2360851486113644	0.4511257536511657	0.6269313321885314
CNAG_00043	206.37751296146917	0.07639248145649921	0.18024568516662748	0.4238241896657801	0.6716940353590337	0.8201281074327327	0.1728285082178468
CNAG_00044	183.65887922887754	0.23112639153123785	0.1284213098081291	1.7997510839638506	0.0718999509527146	0.2151282101385551	1.1432714058754299
