"","Gene","Product"
"1","CNAG_01551","hypothetical protein"
"2","CNAG_02553","short-chain dehydrogenase"
"3","CNAG_03433","endo alpha-1,4 polygalactosaminidase precursor"
"4","CNAG_04025","transaldolase"
