MGat204,2HrUp,2HrDown
CNAG_00849,CNAG_07912,CNAG_01980
CNAG_00850,CNAG_07984,CNAG_01551
CNAG_01814,CNAG_01936,CNAG_06389
CNAG_01815,CNAG_00588,CNAG_06242
CNAG_02662,CNAG_01965,CNAG_04874
CNAG_02663,CNAG_02489,CNAG_05916
CNAG_02712,CNAG_03077,CNAG_00456
CNAG_02713,CNAG_01560,CNAG_06785
CNAG_06846,CNAG_06347,CNAG_06917
CNAG_07401,CNAG_03087,CNAG_06802
CNAG_00068,CNAG_00269,CNAG_05835
CNAG_00079,CNAG_01539,CNAG_00302
CNAG_00106,CNAG_00765,CNAG_00674
CNAG_00107,CNAG_00651,CNAG_03516
CNAG_00126,CNAG_01056,CNAG_03113
CNAG_00164,CNAG_04025,CNAG_03894
CNAG_00178,CNAG_07913,CNAG_04877
CNAG_00179,CNAG_07862,CNAG_05312
CNAG_00183,CNAG_02984,CNAG_06241
CNAG_00184,CNAG_01562,CNAG_00735
CNAG_00192,CNAG_01538,CNAG_04126
CNAG_00336,CNAG_05658,CNAG_05870
CNAG_00337,CNAG_04142,CNAG_07869
CNAG_00362,CNAG_02925,CNAG_06200
CNAG_00363,CNAG_06890,CNAG_05313
CNAG_00374,CNAG_04622,CNAG_05229
CNAG_00393,CNAG_01541,CNAG_02872
CNAG_00394,CNAG_04657,CNAG_05632
CNAG_00399,CNAG_05662,CNAG_02323
CNAG_00400,CNAG_01524,CNAG_00883
CNAG_00441,CNAG_05914,CNAG_04018
CNAG_00442,CNAG_06541,CNAG_02544
CNAG_00445,CNAG_00499,CNAG_05263
CNAG_00455,CNAG_04291,CNAG_05915
CNAG_00456,CNAG_05002,CNAG_00936
CNAG_00546,CNAG_06698,CNAG_06762
CNAG_00547,CNAG_03346,CNAG_00654
CNAG_00549,CNAG_06253,CNAG_00597
CNAG_00559,CNAG_07589,CNAG_01983
CNAG_00580,CNAG_04758,CNAG_06186
CNAG_00581,CNAG_05310,CNAG_02381
CNAG_00597,CNAG_04807,CNAG_03848
CNAG_00598,CNAG_06431,CNAG_02060
CNAG_00654,CNAG_04837,CNAG_06163
CNAG_00668,CNAG_00399,CNAG_00637
CNAG_00674,CNAG_05075,CNAG_07401
CNAG_00699,CNAG_02562,CNAG_02226
CNAG_00700,CNAG_01675,CNAG_00374
CNAG_00702,CNAG_03010,CNAG_00126
CNAG_00709,CNAG_05906,CNAG_03143
CNAG_00710,CNAG_05833,CNAG_02543
CNAG_00717,CNAG_07491,CNAG_03727
CNAG_00732,CNAG_05913,CNAG_04625
CNAG_00733,CNAG_06540,CNAG_03644
CNAG_00740,CNAG_02775,CNAG_00581
CNAG_00741,CNAG_04471,CNAG_05813
CNAG_00776,CNAG_03666,CNAG_04416
CNAG_00791,CNAG_07826,CNAG_06432
CNAG_00814,CNAG_00933,CNAG_07736
CNAG_00815,CNAG_05653,CNAG_04413
CNAG_00844,CNAG_02147,CNAG_06657
CNAG_00883,CNAG_02473,CNAG_06346
CNAG_00884,CNAG_01533,CNAG_01742
CNAG_00897,CNAG_04582,CNAG_00107
CNAG_00903,CNAG_01119,CNAG_07442
CNAG_00917,CNAG_04345,CNAG_05962
CNAG_00919,CNAG_01275,CNAG_05345
CNAG_00979,CNAG_01794,CNAG_01052
CNAG_00980,CNAG_01569,CNAG_00407
CNAG_01013,,CNAG_01777
CNAG_01014,,CNAG_05994
CNAG_01019,,CNAG_00264
CNAG_01061,,CNAG_03461
CNAG_01082,,CNAG_04756
CNAG_01125,,CNAG_05731
CNAG_01126,,CNAG_04735
CNAG_01138,,CNAG_03438
CNAG_01230,,CNAG_00074
CNAG_01242,,CNAG_04476
CNAG_01276,,CNAG_01690
CNAG_01277,,CNAG_02297
CNAG_01318,,CNAG_03058
CNAG_01385,,CNAG_06554
CNAG_01386,,CNAG_03705
CNAG_01395,,CNAG_02225
CNAG_01446,,CNAG_03654
CNAG_01523,,CNAG_04857
CNAG_01551,,CNAG_02063
CNAG_01552,,CNAG_06336
CNAG_01562,,CNAG_07339
CNAG_01620,,CNAG_00598
CNAG_01621,,CNAG_03268
CNAG_01680,,CNAG_03326
CNAG_01681,,CNAG_05161
CNAG_01683,,CNAG_05742
CNAG_01704,,CNAG_01722
CNAG_01777,,CNAG_06658
CNAG_01778,,CNAG_04154
CNAG_01802,,CNAG_07626
CNAG_01803,,CNAG_00251
CNAG_01812,,CNAG_02118
CNAG_01813,,CNAG_02561
CNAG_01865,,CNAG_04096
CNAG_01901,,CNAG_05396
CNAG_01902,,CNAG_07807
CNAG_01919,,
CNAG_01920,,
CNAG_01925,,
CNAG_01939,,
CNAG_01965,,
CNAG_01983,,
CNAG_01984,,
CNAG_01985,,
CNAG_01988,,
CNAG_01989,,
CNAG_01992,,
CNAG_01993,,
CNAG_02044,,
CNAG_02045,,
CNAG_02129,,
CNAG_02152,,
CNAG_02182,,
CNAG_02183,,
CNAG_02188,,
CNAG_02189,,
CNAG_02219,,
CNAG_02220,,
CNAG_02292,,
CNAG_02293,,
CNAG_02347,,
CNAG_02348,,
CNAG_02371,,
CNAG_02435,,
CNAG_02516,,
CNAG_02517,,
CNAG_02553,,
CNAG_02554,,
CNAG_02561,,
CNAG_02682,,
CNAG_02683,,
CNAG_02777,,
CNAG_02796,,
CNAG_02797,,
CNAG_03011,,
CNAG_03012,,
CNAG_03013,,
CNAG_03014,,
CNAG_03142,,
CNAG_03143,,
CNAG_03161,,
CNAG_03172,,
CNAG_03173,,
CNAG_03223,,
CNAG_03328,,
CNAG_03329,,
CNAG_03333,,
CNAG_03335,,
CNAG_03346,,
CNAG_03433,,
CNAG_03438,,
CNAG_03545,,
CNAG_03644,,
CNAG_03676,,
CNAG_03677,,
CNAG_03689,,
CNAG_03727,,
CNAG_03772,,
CNAG_03841,,
CNAG_03847,,
CNAG_03848,,
CNAG_03859,,
CNAG_03884,,
CNAG_03894,,
CNAG_03910,,
CNAG_03914,,
CNAG_03915,,
CNAG_03946,,
CNAG_04024,,
CNAG_04025,,
CNAG_04059,,
CNAG_04077,,
CNAG_04078,,
CNAG_04141,,
CNAG_04162,,
CNAG_04163,,
CNAG_04176,,
CNAG_04186,,
CNAG_04187,,
CNAG_04210,,
CNAG_04217,,
CNAG_04270,,
CNAG_04271,,
CNAG_04292,,
CNAG_04436,,
CNAG_04471,,
CNAG_04472,,
CNAG_04505,,
CNAG_04517,,
CNAG_04518,,
CNAG_04561,,
CNAG_04623,,
CNAG_04630,,
CNAG_04631,,
CNAG_04632,,
CNAG_04658,,
CNAG_04659,,
CNAG_04675,,
CNAG_04737,,
CNAG_04752,,
CNAG_04753,,
CNAG_04755,,
CNAG_04756,,
CNAG_04768,,
CNAG_04807,,
CNAG_04836,,
CNAG_04837,,
CNAG_04864,,
CNAG_04868,,
CNAG_04869,,
CNAG_04874,,
CNAG_04875,,
CNAG_04908,,
CNAG_04909,,
CNAG_04949,,
CNAG_04950,,
CNAG_04969,,
CNAG_04970,,
CNAG_04980,,
