MGat204,4HrUp,4HrDown
CNAG_00849,CNAG_07913,CNAG_01980
CNAG_00850,CNAG_02984,CNAG_06389
CNAG_01814,CNAG_07912,CNAG_03894
CNAG_01815,CNAG_01500,CNAG_04874
CNAG_02662,CNAG_05662,CNAG_06785
CNAG_02663,CNAG_01562,CNAG_00456
CNAG_02712,CNAG_06347,CNAG_06242
CNAG_02713,CNAG_05833,CNAG_05312
CNAG_06846,CNAG_00765,CNAG_00735
CNAG_07401,CNAG_01272,CNAG_01551
CNAG_00068,CNAG_04098,CNAG_06346
CNAG_00079,CNAG_04291,CNAG_07869
CNAG_00106,CNAG_07874,CNAG_07759
CNAG_00107,CNAG_01995,CNAG_02872
CNAG_00126,CNAG_04657,CNAG_05161
CNAG_00164,CNAG_01275,CNAG_02225
CNAG_00178,CNAG_01056,CNAG_03644
CNAG_00179,CNAG_00827,CNAG_02060
CNAG_00183,CNAG_07826,CNAG_04018
CNAG_00184,CNAG_02864,CNAG_03516
CNAG_00192,CNAG_02942,CNAG_06917
CNAG_00336,CNAG_01539,CNAG_01816
CNAG_00337,CNAG_00588,CNAG_00165
CNAG_00362,CNAG_06541,CNAG_04869
CNAG_00363,CNAG_01683,CNAG_05870
CNAG_00374,CNAG_04142,CNAG_00302
CNAG_00393,CNAG_00399,CNAG_05229
CNAG_00394,CNAG_00865,CNAG_05916
CNAG_00399,CNAG_01560,CNAG_05147
CNAG_00400,CNAG_04076,CNAG_00597
CNAG_00441,CNAG_04903,CNAG_02544
CNAG_00442,CNAG_00400,CNAG_07809
CNAG_00445,CNAG_01965,CNAG_04735
CNAG_00455,CNAG_06963,CNAG_05264
CNAG_00456,CNAG_03782,CNAG_05159
CNAG_00546,CNAG_07752,CNAG_03848
CNAG_00547,CNAG_05836,CNAG_05330
CNAG_00549,CNAG_03759,CNAG_06241
CNAG_00559,CNAG_06623,CNAG_06200
CNAG_00580,CNAG_01735,CNAG_00463
CNAG_00581,CNAG_01524,CNAG_00674
CNAG_00597,CNAG_05449,CNAG_06517
CNAG_00598,CNAG_01131,CNAG_05160
CNAG_00654,CNAG_05458,CNAG_01671
CNAG_00668,CNAG_01534,CNAG_00883
CNAG_00674,CNAG_07984,CNAG_02118
CNAG_00699,CNAG_06628,CNAG_02323
CNAG_00700,CNAG_01584,CNAG_02684
CNAG_00702,CNAG_06905,CNAG_05313
CNAG_00709,CNAG_07491,CNAG_05040
CNAG_00710,CNAG_00923,CNAG_04877
CNAG_00717,CNAG_06698,CNAG_05867
CNAG_00732,CNAG_01605,CNAG_06186
CNAG_00733,CNAG_05077,CNAG_00598
CNAG_00740,CNAG_04837,CNAG_01983
CNAG_00741,CNAG_05031,CNAG_01681
CNAG_00776,CNAG_00315,CNAG_06294
CNAG_00791,CNAG_03565,CNAG_03326
CNAG_00814,CNAG_00393,CNAG_00637
CNAG_00815,CNAG_02925,CNAG_04357
CNAG_00844,CNAG_07367,CNAG_05066
CNAG_00883,CNAG_06396,CNAG_03735
CNAG_00884,CNAG_02120,CNAG_04096
CNAG_00897,CNAG_07765,CNAG_02339
CNAG_00903,CNAG_00250,CNAG_05396
CNAG_00917,CNAG_07638,CNAG_01506
CNAG_00919,CNAG_02553,CNAG_01672
CNAG_00979,CNAG_01585,CNAG_03658
CNAG_00980,CNAG_02759,CNAG_03037
CNAG_01013,CNAG_04501,CNAG_05466
CNAG_01014,CNAG_04195,CNAG_04756
CNAG_01019,CNAG_04077,CNAG_03007
CNAG_01061,CNAG_07690,CNAG_00688
CNAG_01082,CNAG_04622,CNAG_00654
CNAG_01125,CNAG_04631,CNAG_06281
CNAG_01126,CNAG_00866,CNAG_06027
CNAG_01138,CNAG_04345,CNAG_05263
CNAG_01230,CNAG_06949,CNAG_08010
CNAG_01242,CNAG_01564,CNAG_05863
CNAG_01276,CNAG_02775,CNAG_06784
CNAG_01277,CNAG_02011,CNAG_02381
CNAG_01318,CNAG_00701,CNAG_03719
CNAG_01385,CNAG_06169,CNAG_03078
