"","Gene","Product"
"1","CNAG_00765","hypothetical protein"
"2","CNAG_01275","hypothetical protein"
"3","CNAG_01551","hypothetical protein"
"4","CNAG_01936","sugar transporter"
"5","CNAG_02225","glucan 1,3-beta-glucosidase"
"6","CNAG_02226","hypothetical protein"
"7","CNAG_02553","short-chain dehydrogenase"
"8","CNAG_03433","endo alpha-1,4 polygalactosaminidase precursor"
"9","CNAG_04025","transaldolase"
"10","CNAG_06568","RAN protein kinase"
"11","CNAG_06836","oxidoreductase"
