"","Gene","Product"
"1","CNAG_00442","cyclin"
"2","CNAG_01552","blocked early in transport 1"
"3","CNAG_01562","hypothetical protein, variant"
"4","CNAG_01562","hypothetical protein"
"5","CNAG_01621","hypothetical protein"
"6","CNAG_03346","hypothetical protein"
"7","CNAG_04025","transaldolase"
"8","CNAG_06098","glucosamine-6-phosphate deaminase"
"9","CNAG_06347","hypothetical protein"
