"","x"
"267","CNAG_03659"
"268","CNAG_03666"
"269","CNAG_03667"
"270","CNAG_03688"
"271","CNAG_03705"
"272","CNAG_03706"
"273","CNAG_03707"
"274","CNAG_03727"
"275","CNAG_03729"
"276","CNAG_03738"
"277","CNAG_03764"
"278","CNAG_03768"
"279","CNAG_03775"
"280","CNAG_03784"
"281","CNAG_03785"
"282","CNAG_03789"
"283","CNAG_03794"
"284","CNAG_03805"
"285","CNAG_03807"
"286","CNAG_03817"
"287","CNAG_03844"
"288","CNAG_03857"
"289","CNAG_03863"
"290","CNAG_03868"
"291","CNAG_03872"
"292","CNAG_03873"
"293","CNAG_03874"
"294","CNAG_03881"
"295","CNAG_03904"
"296","CNAG_03906"
"297","CNAG_03921"
"298","CNAG_03926"
"299","CNAG_03951"
"300","CNAG_03964"
"301","CNAG_03967"
"302","CNAG_03982"
"303","CNAG_04011"
"304","CNAG_04030"
"305","CNAG_04035"
"306","CNAG_04038"
"307","CNAG_04055"
"308","CNAG_04072"
"309","CNAG_04095"
"310","CNAG_04096"
"311","CNAG_04112"
"312","CNAG_04153"
"313","CNAG_04154"
"314","CNAG_04163"
"315","CNAG_04169"
"316","CNAG_04172"
"317","CNAG_04179"
"318","CNAG_04195"
"319","CNAG_04213"
"320","CNAG_04217"
"321","CNAG_04222"
"322","CNAG_04233"
"323","CNAG_04242"
"324","CNAG_04273"
"325","CNAG_04275"
"326","CNAG_04295"
"327","CNAG_04297"
"328","CNAG_04306"
"329","CNAG_04308"
"330","CNAG_04314"
"331","CNAG_04326"
"332","CNAG_04357"
"333","CNAG_04361"
"334","CNAG_04365"
"335","CNAG_04372"
"336","CNAG_04386"
"337","CNAG_04387"
"338","CNAG_04388"
"339","CNAG_04392"
"340","CNAG_04436"
"341","CNAG_04443"
"342","CNAG_04519"
"343","CNAG_04546"
"344","CNAG_04571"
"345","CNAG_04576"
"346","CNAG_04577"
"347","CNAG_04580"
"348","CNAG_04583"
"349","CNAG_04586"
"350","CNAG_04600"
"351","CNAG_04616"
"352","CNAG_04626"
"353","CNAG_04632"
"354","CNAG_04638"
"355","CNAG_04640"
"356","CNAG_04648"
"357","CNAG_04675"
"358","CNAG_04680"
"359","CNAG_04707"
"360","CNAG_04726"
"361","CNAG_04727"
"362","CNAG_04729"
"363","CNAG_04736"
"364","CNAG_04745"
"365","CNAG_04771"
"366","CNAG_04784"
"367","CNAG_04794"
"368","CNAG_04819"
"369","CNAG_04855"
"370","CNAG_04859"
"371","CNAG_04861"
"372","CNAG_04868"
"373","CNAG_04869"
"374","CNAG_04877"
"375","CNAG_04886"
"376","CNAG_04931"
"377","CNAG_04938"
"378","CNAG_04944"
"379","CNAG_04948"
"380","CNAG_04963"
"381","CNAG_04969"
"382","CNAG_04976"
"383","CNAG_04984"
"384","CNAG_05032"
"385","CNAG_05063"
"386","CNAG_05067"
"387","CNAG_05068"
"388","CNAG_05085"
"389","CNAG_05086"
"390","CNAG_05140"
"391","CNAG_05146"
"392","CNAG_05147"
"393","CNAG_05150"
"394","CNAG_05154"
"395","CNAG_05190"
"396","CNAG_05192"
"397","CNAG_05215"
"398","CNAG_05216"
"399","CNAG_05222"
"400","CNAG_05239"
"401","CNAG_05259"
"402","CNAG_05277"
"403","CNAG_05288"
"404","CNAG_05303"
"405","CNAG_05313"
"406","CNAG_05341"
"407","CNAG_05360"
"408","CNAG_05376"
"409","CNAG_05441"
"410","CNAG_05442"
"411","CNAG_05458"
"412","CNAG_05465"
"413","CNAG_05513"
"414","CNAG_05522"
"415","CNAG_05531"
"416","CNAG_05555"
"417","CNAG_05556"
"418","CNAG_05558"
"419","CNAG_05573"
"420","CNAG_05580"
"421","CNAG_05590"
"422","CNAG_05599"
"423","CNAG_05600"
"424","CNAG_05603"
"425","CNAG_05609"
"426","CNAG_05614"
"427","CNAG_05620"
"428","CNAG_05627"
"429","CNAG_05653"
"430","CNAG_05654"
"431","CNAG_05660"
"432","CNAG_05673"
"433","CNAG_05677"
"434","CNAG_05682"
"435","CNAG_05685"
"436","CNAG_05686"
"437","CNAG_05698"
"438","CNAG_05699"
"439","CNAG_05721"
"440","CNAG_05724"
"441","CNAG_05731"
"442","CNAG_05742"
"443","CNAG_05755"
"444","CNAG_05757"
"445","CNAG_05783"
"446","CNAG_05803"
"447","CNAG_05835"
"448","CNAG_05841"
"449","CNAG_05843"
"450","CNAG_05866"
"451","CNAG_05867"
"452","CNAG_05870"
"453","CNAG_05908"
"454","CNAG_05910"
"455","CNAG_05916"
"456","CNAG_05931"
"457","CNAG_05962"
"458","CNAG_05963"
"459","CNAG_05971"
"460","CNAG_05976"
"461","CNAG_05988"
"462","CNAG_05990"
"463","CNAG_05993"
"464","CNAG_06000"
"465","CNAG_06007"
"466","CNAG_06012"
"467","CNAG_06017"
"468","CNAG_06021"
"469","CNAG_06033"
"470","CNAG_06048"
"471","CNAG_06071"
"472","CNAG_06079"
"473","CNAG_06090"
"474","CNAG_06096"
"475","CNAG_06126"
"476","CNAG_06127"
"477","CNAG_06129"
"478","CNAG_06140"
"479","CNAG_06142"
"480","CNAG_06145"
"481","CNAG_06152"
"482","CNAG_06163"
"483","CNAG_06182"
"484","CNAG_06203"
"485","CNAG_06205"
"486","CNAG_06240"
"487","CNAG_06242"
"488","CNAG_06267"
"489","CNAG_06285"
"490","CNAG_06301"
"491","CNAG_06302"
"492","CNAG_06341"
"493","CNAG_06380"
"494","CNAG_06382"
"495","CNAG_06401"
"496","CNAG_06403"
"497","CNAG_06431"
"498","CNAG_06432"
"499","CNAG_06452"
"500","CNAG_06455"
"501","CNAG_06465"
"502","CNAG_06491"
"503","CNAG_06516"
"504","CNAG_06520"
"505","CNAG_06521"
"506","CNAG_06574"
"507","CNAG_06599"
"508","CNAG_06605"
"509","CNAG_06629"
"510","CNAG_06632"
"511","CNAG_06635"
"512","CNAG_06638"
"513","CNAG_06647"
"514","CNAG_06656"
"515","CNAG_06672"
"516","CNAG_06687"
"517","CNAG_06689"
"518","CNAG_06695"
"519","CNAG_06724"
"520","CNAG_06728"
"521","CNAG_06732"
"522","CNAG_06742"
"523","CNAG_06756"
"524","CNAG_06758"
"525","CNAG_06762"
"526","CNAG_06771"
"527","CNAG_06802"
"528","CNAG_06832"
"529","CNAG_06902"
"530","CNAG_06910"
"531","CNAG_06919"
"532","CNAG_06928"
"533","CNAG_06939"
"534","CNAG_06948"
"535","CNAG_06963"
"536","CNAG_07313"
"537","CNAG_07314"
"538","CNAG_07341"
"539","CNAG_07362"
"540","CNAG_07363"
"541","CNAG_07375"
"542","CNAG_07389"
"543","CNAG_07402"
"544","CNAG_07403"
"545","CNAG_07413"
"546","CNAG_07419"
"547","CNAG_07428"
"548","CNAG_07466"
"549","CNAG_07482"
"550","CNAG_07483"
"551","CNAG_07506"
"552","CNAG_07536"
"553","CNAG_07567"
"554","CNAG_07573"
"555","CNAG_07579"
"556","CNAG_07586"
"557","CNAG_07597"
"558","CNAG_07599"
"559","CNAG_07607"
"560","CNAG_07609"
"561","CNAG_07626"
"562","CNAG_07627"
"563","CNAG_07629"
"564","CNAG_07636"
"565","CNAG_07642"
"566","CNAG_07660"
"567","CNAG_07661"
