gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	minus_log10_pvalue
CNAG_00002	301.69723109494487	0.30949428850823346	0.1093915975208443	2.8292327337962138	0.004665975403398868	0.01390950093811809	2.3310575549113834
CNAG_00003	95.2449108472015	-0.45533574890366124	0.1284693728831942	-3.544313626545508	3.9363669530955754e-4	0.0017278122044606407	3.404904422873786
CNAG_00004	152.3694108486061	-0.08900439290673391	0.09546358267154065	-0.932338703576308	0.3511615117565455	0.4772739925250194	0.4544930899975242
CNAG_00005	344.5074977854591	0.5629809229129937	0.10219521252903131	5.508877656603178	3.611287760875346e-8	4.798968647261461e-7	7.442337903990514
CNAG_00006	1595.4029055695132	0.308872730616772	0.06992052634634811	4.417482916057942	9.985696040321105e-6	7.185451916673612e-5	5.000621657790259
CNAG_00007	433.33853526921234	0.3775898881576252	0.1029695738370461	3.6670044760520994	2.454085009421593e-4	0.001163239733968301	3.6101103974023063
CNAG_00008	332.432059857407	-0.3940325600704036	0.09271592132017839	-4.249891005339637	2.1387456112666567e-5	1.3910072417891987e-4	4.66984086862776
CNAG_00009	182.63382505151208	-0.4567680475250015	0.09596014534438732	-4.7599766120166445	1.9361539397985014e-6	1.7082077012609008e-5	5.713060115753245
CNAG_00010	460.87827444526874	-0.4354386176145421	0.10716283508393762	-4.06333611156774	4.837629196663819e-5	2.8678110329740644e-4	4.315367423285916
CNAG_00011	112.61677480915377	-0.8706280649250753	0.13847383061763358	-6.287311191160241	3.2301148775273683e-10	6.189375929630345e-9	9.490782031913772
CNAG_00012	412.82874481660144	0.4797778365099077	0.14489329451964308	3.3112494135804504	9.288038459034225e-4	0.0035749615055402965	3.0320759949801026
CNAG_00013	229.06563325364044	0.2542899963187048	0.09922138264168502	2.5628547954931657	0.010381545627940188	0.02732325860987838	1.9837379829313144
CNAG_00014	103.43372321405245	-0.351776026787458	0.1432789055137704	-2.455183654049124	0.01408126284295122	0.03512008181036949	1.8513583948294536
CNAG_00015	356.1375678781366	0.857055889680634	0.12047294524465062	7.114094271872962	1.126501362512199e-12	3.0848806542641756e-11	11.948268278657263
CNAG_00016	462.98175933427973	-0.21976159386293007	0.1278444116779151	-1.7189769265518353	0.08561857337899222	0.15660383957655133	1.067432012880981
CNAG_00017	68.02855813948081	0.21249794224166554	0.14531361668145149	1.4623401928498678	0.1436480096022524	0.23594830911841555	0.8427003872477196
CNAG_00018	340.5177219435505	0.5356809344447281	0.15867151096822846	3.376037268290651	7.353795731429256e-4	0.0029259455486698523	3.1334884378265784
CNAG_00019	1452.5150710297619	0.29912557593835	0.09114477469144709	3.281873008639074	0.0010312003503846884	0.0038883389103097393	2.986656948088603
CNAG_00020	771.0344238181228	-0.43749884395269295	0.10802381790405047	-4.050022045520468	5.1212808102589175e-5	3.012203773964462e-4	4.290621410261611
CNAG_00021	96.3053454947705	-0.2734323789985477	0.20221564210724005	-1.3521821366001925	0.17631705675581988	0.27903803741140987	0.7537056724050727
CNAG_00022	479.8572228160327	0.24700301486954418	0.06676242546850132	3.6997309959339453	2.1582811596195807e-4	0.0010464956102986984	3.6658919803585834
CNAG_00023	153.78167544842327	0.7634510391318907	0.1891515943487368	4.036186117069276	5.4327124729617175e-5	3.151096160961623e-4	4.264983279451919
CNAG_00024	1638.746192460422	-0.9624696151275084	0.1721099246961084	-5.592179630703603	2.242366495883524e-8	3.089076777628545e-7	7.649293404171071
CNAG_00025	224.1499195787329	-0.8303559419256409	0.13695844599043022	-6.062831218044493	1.3374599913745105e-9	2.2997863776513502e-8	8.873719200547976
CNAG_00026	222.67185905183229	0.5179982400854524	0.1492095361742222	3.471616180621457	5.173354198974606e-4	0.0021653816709074404	3.2862277861580744
CNAG_00027	191.24112586151602	0.006857340634698897	0.10494310039040289	0.0653434157099289	0.94790057544735	0.9654569330410895	0.02323721308285812
CNAG_00028	249.77668849048305	-0.05114352643083448	0.09189831943341768	-0.5565229782889455	0.5778533905900304	0.6903215001679558	0.2381823341300811
CNAG_00029	91.69913480223416	0.062036033066682476	0.12636364094508756	0.4909326179802051	0.6234741061421887	0.7282298141850742	0.20518157874210624
CNAG_00030	61.58795672717961	-0.1311551729031581	0.14688714157810867	-0.8928975776509004	0.3719120244562633	0.49861436932713643	0.42955978004225837
CNAG_00031	143.41622523232024	-0.28390223272705234	0.12344960271243229	-2.2997419715346017	0.021462842745950228	0.05006266040650333	1.6683127564094156
CNAG_00032	64.17304954298488	0.12894053413389076	0.13368444899028414	0.964514086027028	0.33478824975322713	0.4596022429103339	0.4752297930828576
CNAG_00034	12298.191248042847	0.44563512824621815	0.08722456628968532	5.109055249024682	3.237736749834311e-7	3.520908581331074e-6	6.489758465262083
CNAG_00035	35.05491967082385	-0.2962072578623455	0.1734479693188297	-1.7077585804297388	0.0876811474519515	0.159807031067874	1.0570937753652943
CNAG_00036	547.5205603250747	0.3339772888341506	0.09389555786940675	3.5569019068895464	3.752541966162438e-4	0.0016611383415656238	3.4256744421704055
CNAG_00038	414.9981522332407	0.5692363583348037	0.12139499893661049	4.689125279634007	2.743753778906748e-6	2.305879858409874e-5	5.561654864269943
CNAG_00039	143.290599525724	-0.283989377789586	0.1603032648716267	-1.771575756844435	0.07646500694548425	0.14252647391684636	1.1165372676876362
CNAG_00040	390.01353045782787	0.08155433923013251	0.09745810824726894	0.836814306134635	0.4026969546359232	0.5287987189200901	0.39502165469804373
CNAG_00043	341.3647229559598	0.14473192141707775	0.09826496460458822	1.4728741011556816	0.14078498668803024	0.23227514881152966	0.851443655891266
