gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_07912	1080.592714112303	2.598961915363461	0.1705988730188817	15.234343986995803	2.092165112015915e-52	1.4172326468795807e-49
CNAG_07984	96.93550252863889	2.499050657638869	0.24534412435283076	10.185899761124787	2.2922940921064955e-24	3.6111628325417207e-22
CNAG_01936	352.859995827136	2.342170037777949	0.21824847242355808	10.731667497000688	7.227993933256362e-27	1.3989265972536743e-24
CNAG_00588	3533.462692228936	2.2713584862009597	0.20874380161350023	10.88108230589043	1.4186838937467095e-27	3.1000531278194226e-25
CNAG_01965	39.989345276463645	2.067990764044678	0.332656299181441	6.2165988413065705	5.080464066205983e-10	2.09989626756716e-8
CNAG_02489	67.77560773164072	1.9269863046906888	0.2799810445419555	6.882559881306277	5.8786440199200415e-12	3.185754767275069e-10
CNAG_03077	2.6754390367793714	1.9224373495724028	0.705142111440932	2.7263119283061577	0.0064046440204230315	0.038732795408864394
CNAG_01560	34.54158924906866	1.9014502923178493	0.570971699804062	3.3302005913259136	8.678344043999186e-4	0.008208273621423325
CNAG_06347	5905.373104529062	1.882929035224261	0.43086951132764234	4.370067934076778	1.2420788879562482e-5	2.1797519137346178e-4
CNAG_03087	13.736632804548364	1.8088056275340998	0.3281546846661972	5.512051822066896	3.5467445039553026e-8	1.0491549026110576e-6
CNAG_00269	29.916370727023946	1.7435464424527687	0.33878273727441377	5.146503202849138	2.6538693521402227e-7	6.783890940150139e-6
CNAG_01539	632.59570301892	1.7261823005523866	0.31772273146588775	5.43298332035685	5.541958980470149e-8	1.6043260740899483e-6
CNAG_00765	657.1541878596672	1.6600106994706472	0.12291384197259393	13.505482155872887	1.451602783312767e-41	6.145723283850428e-39
CNAG_00651	49.74336925547059	1.6262568922927987	0.20684884552528013	7.862054478297995	3.778836069806313e-15	2.844203948540885e-13
CNAG_01056	193.32187046739395	1.6025393648996082	0.18780874542029832	8.532826100900017	1.428152806648084e-17	1.240295783619759e-15
CNAG_04025	50.277368634881306	1.5878617297845816	0.2508793547596656	6.329184524990916	2.464602344191129e-10	1.063389571945905e-8
CNAG_07913	8.981917704209122	1.5834279690299622	0.39595067161675	3.9990536259592444	6.359627058309404e-5	9.284507261419806e-4
CNAG_07862	243.0353591836954	1.5328112690471751	0.14607252589561234	10.493494650339425	9.254098434700322e-26	1.6942503458556753e-23
CNAG_02984	47.964210018692306	1.5111774316180384	0.1738052901433622	8.694657282131937	3.4787820749791605e-18	3.4241270962914557e-16
CNAG_01562	423.6636317094181	1.501315355794072	0.4169310637447508	3.6008719098781077	3.1715180668790295e-4	0.0036156646563531517
CNAG_01538	15.19553859887356	1.494974827119223	0.39985378149816064	3.7388037735141437	1.848979759268272e-4	0.0022814187412173543
